CoC Number,Year,County,CoC_Category_Largely Rural CoC,CoC_Category_Major City CoC,CoC_Category_Other Largely Urban CoC,Median_House_Values_5_year_lag1,Median_Rent_5_year_lag1,Median_Gross_Rent_5_year_lag1,Percentage_of_Households_with_Cost_Burden_5_year_lag1,Rental_Vacancy_Rates_5_year_lag1,Share_of_Single_Person_Households_5_year_lag1,Share_of_Renter_Occupied_Units_5_year_lag1,Unemployment Rate_lag1,Median Household Income_lag1,Poverty Rate_lag1,Labor Force_lag1,pct_change_total_homeless_per_10k,total_homeless_per_10k,total_homeless_per_10k_lag1
AL-501,2012,mobile county,0.0,0.0,1.0,124100.0,531.0,791.0,0.490373249,99.0,0.0,0.32,5.5,42372.0,19.4,321393.5,-0.2226660172734226,11.905940653836586,15.316377411000737
AL-501,2013,mobile county,0.0,0.0,1.0,125400.0,548.0,811.0,0.4932051257197138,98.0,0.0,0.33,9.4,39691.0,21.1,188890.0,0.2099311956901419,14.40536901111237,11.905940653836586
AL-501,2014,mobile county,0.0,0.0,1.0,124300.0,561.0,816.0,0.5029996720615753,109.0,0.0,0.33,8.7,42944.0,20.0,186932.0,-0.0340777148848252,13.914466953140986,14.40536901111237
AL-501,2015,mobile county,0.0,0.0,1.0,124500.0,576.0,826.0,0.4958484842592413,118.0,0.0,0.33,7.7,43642.0,19.3,185640.0,0.0793071025091134,15.01798301015341,13.914466953140986
AL-501,2016,mobile county,0.0,0.0,1.0,122400.0,598.0,816.0,0.4991469561845676,122.0,0.0,0.33,6.9,42699.0,17.7,186483.0,-0.025217143022327,14.639272384679494,15.01798301015341
AL-501,2017,mobile county,0.0,0.0,1.0,123500.0,606.0,818.0,0.4851509667587389,118.0,0.0,0.34,6.6,45744.0,19.4,186230.0,-0.0903239661620872,13.316995241168124,14.639272384679494
AL-501,2018,mobile county,0.0,0.0,1.0,124500.0,623.0,831.0,0.4791566008928744,118.0,0.29,0.34,5.3,46023.0,19.6,189017.0,-0.0822713067901693,12.221388640158755,13.316995241168124
AZ-501,2012,pima county,0.0,1.0,0.0,190500.0,654.0,906.0,0.4957560355781448,96.0,0.0,0.36,5.5,44112.0,20.4,321393.5,-0.0580482981717639,22.45738815959797,23.84133721082554
AZ-501,2013,pima county,0.0,1.0,0.0,177500.0,658.0,906.0,0.4971227667360264,100.0,0.0,0.36,7.4,44762.0,20.0,466804.0,-0.0340800720532311,21.69203875299149,22.45738815959797
AZ-501,2014,pima county,0.0,1.0,0.0,167500.0,675.0,896.0,0.5000348611827702,95.0,0.0,0.37,6.8,43824.0,19.5,462267.0,-0.1496839830083858,18.445087992871464,21.69203875299149
AZ-501,2015,pima county,0.0,1.0,0.0,161700.0,686.0,889.0,0.4938539162236294,89.0,0.0,0.38,6.0,45856.0,18.9,465898.0,-0.0583658001709322,17.368525672944266,18.445087992871464
AZ-501,2016,pima county,0.0,1.0,0.0,159900.0,686.0,874.0,0.489602125,85.0,0.0,0.39,5.5,47099.0,18.9,467826.0,-0.1139377851312529,15.389594326773691,17.368525672944266
AZ-501,2017,pima county,0.0,1.0,0.0,160800.0,698.0,874.0,0.4905844134622298,78.0,0.0,0.39,5.0,47560.0,18.4,471452.0,-0.1370098186592133,13.281068798823568,15.389594326773691
AZ-501,2018,pima county,0.0,1.0,0.0,166300.0,719.0,894.0,0.4910312275451075,75.0,0.31,0.38,4.6,51425.0,16.7,464230.0,-0.0135872213557257,13.10061597721333,13.281068798823568
AZ-502,2012,maricopa county,0.0,1.0,0.0,219300.0,792.0,1150.0,0.4825079219316541,112.0,0.0,0.35,5.5,50770.0,17.4,321393.5,-0.107134326922583,14.687939278876804,16.45033482836479
AZ-502,2013,maricopa county,0.0,1.0,0.0,193900.0,797.0,1127.0,0.4822003921529988,112.0,0.0,0.36,7.3,51432.0,17.5,1911529.0,-0.014199216445251,14.479382049921329,14.687939278876804
AZ-502,2014,maricopa county,0.0,1.0,0.0,176500.0,793.0,1089.0,0.4788745710152874,105.0,0.0,0.37,6.6,52045.0,17.7,1929092.0,-0.06693196406869,13.510248570819158,14.479382049921329
AZ-502,2015,maricopa county,0.0,1.0,0.0,175600.0,796.0,1063.0,0.4721826221976046,94.0,0.0,0.39,5.8,53896.0,17.1,1973683.0,-0.0053022198615095,13.43861426251303,13.510248570819158
