CoC Number,County,Year,CoC_Category_Largely Rural CoC,CoC_Category_Major City CoC,CoC_Category_Other Largely Urban CoC,Median_House_Values_5_year_lag1,Median_Rent_5_year_lag1,Median_Gross_Rent_5_year_lag1,Percentage_of_Households_with_Cost_Burden_5_year_lag1,Rental_Vacancy_Rates_5_year_lag1,Share_of_Single_Person_Households_5_year_lag1,Share_of_Renter_Occupied_Units_5_year_lag1,Unemployment Rate_lag1,Median Household Income_lag1,Poverty Rate_lag1,Labor Force_lag1,pct_change_total_homeless_per_10k
CA-502,alameda county,2012,0.0,1.0,0.0,558300.0,1153.0,1555.0,0.4932112771990005,50.0,0.0,0.45,5.5,67558.0,13.1,321393.5,-0.013689669153418
CA-502,alameda county,2013,0.0,1.0,0.0,514900.0,1189.0,1565.0,0.4966742976734116,44.0,0.0,0.46,8.8,70500.0,13.1,796456.0,-0.0180441672527527
CA-502,alameda county,2014,0.0,1.0,0.0,493800.0,1200.0,1566.0,0.4994218203056708,43.0,0.0,0.47,7.3,72399.0,12.9,799847.0,-0.0700631319959661
CA-502,alameda county,2015,0.0,1.0,0.0,509300.0,1233.0,1590.0,0.5024741530783693,39.0,0.0,0.47,5.9,77214.0,12.5,806326.0,0.0200815013191113
CA-502,alameda county,2016,0.0,1.0,0.0,543100.0,1272.0,1614.0,0.5000359490356198,32.0,0.0,0.47,4.8,81717.0,11.4,819008.0,0.3453771417841067
CA-502,alameda county,2017,0.0,1.0,0.0,593500.0,1344.0,1673.0,0.4962657709996675,28.0,0.0,0.47,4.3,89979.0,10.7,831827.0,-0.0257148232750501
CA-502,alameda county,2018,0.0,1.0,0.0,649100.0,1447.0,1779.0,0.4889810510727254,26.0,0.24,0.47,3.7,96296.0,9.2,838175.0,0.4556106692553099
CA-503,sacramento county,2011,0.0,1.0,0.0,324200.0,871.0,1206.0,0.5394526131896928,71.0,0.0,0.41,5.5,52709.0,16.8,321393.5,0.1720626659328326
CA-503,sacramento county,2012,0.0,1.0,0.0,285000.0,886.0,1264.0,0.5396479209738235,69.0,0.0,0.41,5.5,52314.0,17.7,321393.5,-0.104853210934227
CA-503,sacramento county,2013,0.0,1.0,0.0,249800.0,895.0,1253.0,0.5446467193726818,67.0,0.0,0.42,10.7,52667.0,19.6,679873.0,-0.048020426953775
CA-503,sacramento county,2014,0.0,1.0,0.0,234200.0,899.0,1232.0,0.548709706,64.0,0.0,0.43,9.0,52936.0,19.0,677831.0,0.0717852248017569
CA-503,sacramento county,2015,0.0,1.0,0.0,236500.0,906.0,1217.0,0.5412078075193223,60.0,0.0,0.44,7.4,55842.0,18.2,677696.0,-0.067945144199164
CA-503,sacramento county,2016,0.0,1.0,0.0,248400.0,911.0,1206.0,0.5292501824112623,56.0,0.0,0.45,6.0,58942.0,16.9,684577.0,0.4505269842514283
CA-503,sacramento county,2017,0.0,1.0,0.0,271300.0,936.0,1215.0,0.5245959241040056,51.0,0.0,0.45,5.4,59780.0,16.4,693979.0,-0.018647760415146
CA-503,sacramento county,2018,0.0,1.0,0.0,299900.0,981.0,1251.0,0.521885849,43.0,0.26,0.45,4.7,63045.0,14.1,696466.0,0.5247969569323379
CA-504,sonoma county,2011,0.0,0.0,1.0,524400.0,1102.0,1206.0,0.5245934783236577,51.0,0.0,0.38,5.5,59055.0,13.1,321393.5,-0.0202254644316149
CA-504,sonoma county,2012,0.0,0.0,1.0,477300.0,1133.0,1490.0,0.5216955705758675,51.0,0.0,0.38,5.5,61020.0,12.2,321393.5,-0.051446064102456
CA-504,sonoma county,2013,0.0,0.0,1.0,430900.0,1149.0,1487.0,0.5329944262386914,51.0,0.0,0.39,9.0,59941.0,12.1,245671.0,-0.0137644428737727
CA-504,sonoma county,2014,0.0,0.0,1.0,407400.0,1161.0,1478.0,0.5352713911328452,48.0,0.0,0.4,7.2,61029.0,12.4,249019.0,-0.2767075946325292
CA-504,sonoma county,2015,0.0,0.0,1.0,414500.0,1193.0,1486.0,0.5455400180094284,43.0,0.0,0.4,5.7,67771.0,11.3,255563.0,-0.0633960334691263
CA-504,sonoma county,2016,0.0,0.0,1.0,436400.0,1209.0,1475.0,0.5385736035279295,37.0,0.0,0.41,4.5,66674.0,11.1,257659.0,-0.0266514447023045
CA-504,sonoma county,2017,0.0,0.0,1.0,464700.0,1261.0,1504.0,0.5338079691617826,33.0,0.0,0.4,4.0,73929.0,9.2,259214.0,0.0658267272583865
CA-504,sonoma county,2018,0.0,0.0,1.0,513300.0,1327.0,1577.0,0.5308283631544068,29.0,0.28,0.4,3.4,80409.0,9.2,259768.0,-0.0038498959232976
CA-505,contra costa county,2011,0.0,0.0,0.0,548200.0,1182.0,1206.0,0.5252582828642679,65.0,0.0,0.31,5.5,73721.0,9.2,321393.5,-0.0243637032637
CA-505,contra costa county,2012,0.0,0.0,0.0,490200.0,1210.0,1804.0,0.5276744620505766,59.0,0.0,0.32,5.5,74353.0,12.0,321393.5,-0.1729675875743369
CA-505,contra costa county,2013,0.0,0.0,0.0,433800.0,1234.0,1780.0,0.5304203584577416,54.0,0.0,0.33,9.1,74177.0,11.2,534520.0,-0.0109868163539655
CA-505,contra costa county,2014,0.0,0.0,0.0,404000.0,1250.0,1741.0,0.527302128,52.0,0.0,0.34,7.6,79100.0,10.8,536032.0,-0.0028720214766655
CA-505,contra costa county,2015,0.0,0.0,0.0,417400.0,1289.0,1719.0,0.5293091783808164,46.0,0.0,0.35,6.2,80361.0,10.5,538458.0,-0.1544926926118061
CA-505,contra costa county,2016,0.0,0.0,0.0,439900.0,1315.0,1700.0,0.5229816587977467,35.0,0.0,0.35,5.1,83104.0,10.3,544617.0,-0.0810653649315354
CA-505,contra costa county,2017,0.0,0.0,0.0,472900.0,1393.0,1736.0,0.5126231952576644,30.0,0.0,0.35,4.5,91045.0,8.6,553221.0,0.3868128974918705
CA-505,contra costa county,2018,0.0,0.0,0.0,522300.0,1480.0,1811.0,0.5066519836899908,28.0,0.22,0.34,3.9,95339.0,9.3,557869.0,0.0243565770878233
CA-507,marin county,2011,0.0,0.0,0.0,868000.0,1446.0,1206.0,0.5210906044802335,31.0,0.0,0.36,5.5,83867.0,9.1,321393.5,-0.1623420606558254
CA-507,marin county,2012,0.0,0.0,0.0,840900.0,1475.0,1968.0,0.530200284,30.0,0.0,0.37,5.5,77168.0,9.5,321393.5,-0.0758722443589229
CA-507,marin county,2013,0.0,0.0,0.0,810700.0,1491.0,1965.0,0.5302613836738927,32.0,0.0,0.37,6.4,90535.0,7.9,136522.0,-0.0047494142408958
