CoC Number,County,Year,CoC_Category_Largely Rural CoC,CoC_Category_Largely Rural CoC,CoC_Category_Major City CoC,CoC_Category_Other Largely Urban CoC,Median_House_Values_5_year_lag1,Median_Rent_5_year_lag1,Median_Gross_Rent_5_year_lag1,Percentage_of_Households_with_Cost_Burden_5_year_lag1,Rental_Vacancy_Rates_5_year_lag1,Share_of_Single_Person_Households_5_year_lag1,Share_of_Renter_Occupied_Units_5_year_lag1,Unemployment Rate_lag1,Median Household Income_lag1,Poverty Rate_lag1,Labor Force_lag1,pct_change_total_homeless_per_10k
FL-503,polk county,2013,0,0,0,0,120200.0,665.0,863.0,0.5136360120658984,105.0,0.0,0.29,9.9,41325.0,17.9,275402.0,0.011881588716667224
FL-503,polk county,2014,0,0,0,0,111400.0,670.0,840.0,0.5025360301849446,104.0,0.0,0.29,8.6,42435.0,19.4,278126.0,-0.15490712176671695
FL-503,polk county,2015,0,0,0,0,107100.0,682.0,834.0,0.5003427106925736,94.0,0.0,0.3,7.4,42780.0,18.1,278128.0,0.33554703071762826
FL-503,polk county,2016,0,0,0,0,107300.0,687.0,822.0,0.4897675429067999,86.0,0.0,0.31,6.4,44061.0,17.2,281059.0,-0.21758380881503514
FL-503,polk county,2017,0,0,0,0,110400.0,707.0,823.0,0.4758648713026664,78.0,0.0,0.32,5.6,46355.0,16.4,287843.0,0.04534615290907329
FL-503,polk county,2018,0,0,0,0,121100.0,725.0,839.0,0.4710504721770212,73.0,0.26,0.32,4.9,48475.0,16.0,291121.0,-0.003668887156724865
FL-513,brevard county,2013,0,0,0,0,157200.0,750.0,978.0,0.5127935943060499,146.0,0.0,0.25,9.7,46162.0,14.7,261046.0,-0.06769493212824684
FL-513,brevard county,2014,0,0,0,0,144900.0,756.0,940.0,0.5168178933465978,132.0,0.0,0.26,8.7,46472.0,15.0,258158.0,-0.2885175456095479
FL-513,brevard county,2015,0,0,0,0,138500.0,763.0,915.0,0.5056043920133328,120.0,0.0,0.28,7.2,47907.0,14.4,257569.0,-0.2432537509300492
FL-513,brevard county,2016,0,0,0,0,142200.0,772.0,892.0,0.4978063576033071,114.0,0.0,0.28,6.0,50416.0,13.2,257457.0,0.004367230143745182
FL-513,brevard county,2017,0,0,0,0,150500.0,789.0,894.0,0.4893369217936005,109.0,0.0,0.28,5.2,51184.0,15.0,263418.0,-0.14254841359625103
FL-513,brevard county,2018,0,0,0,0,162400.0,819.0,910.0,0.4905432153067957,103.0,0.3,0.28,4.4,52540.0,12.3,266773.0,0.10095957401528244
FL-514,marion county,2013,0,0,0,0,130900.0,631.0,773.0,0.5497615057367539,119.0,0.0,0.23,10.5,37098.0,18.3,129686.0,0.7228576049056037
FL-514,marion county,2014,0,0,0,0,119400.0,625.0,748.0,0.532487505,107.0,0.0,0.23,8.9,38695.0,19.5,130783.0,-0.15290906485619427
FL-514,marion county,2015,0,0,0,0,111500.0,632.0,735.0,0.4995481317585465,103.0,0.0,0.24,7.5,39958.0,17.4,131442.0,0.028467081216405843
FL-514,marion county,2016,0,0,0,0,111000.0,622.0,708.0,0.478005321,93.0,0.0,0.24,6.6,40050.0,18.8,130698.0,-0.1323344156966254
FL-514,marion county,2017,0,0,0,0,114400.0,639.0,701.0,0.4658998768731793,89.0,0.0,0.25,5.9,39383.0,17.6,132466.0,-0.2233606649007175
FL-514,marion county,2018,0,0,0,0,119200.0,653.0,704.0,0.4422110552763819,96.0,0.3,0.25,5.1,43910.0,16.1,132717.0,-0.1823054680364592
FL-519,pasco county,2013,0,0,0,0,131200.0,730.0,892.0,0.5252404724217704,127.0,0.0,0.22,9.3,42704.0,12.8,207412.0,-0.0051335073058672576
FL-519,pasco county,2014,0,0,0,0,120000.0,740.0,876.0,0.5122047979090825,115.0,0.0,0.23,8.0,45678.0,13.1,209918.0,-0.7040350463157785
FL-519,pasco county,2015,0,0,0,0,115700.0,750.0,862.0,0.5121967198794523,102.0,0.0,0.25,6.9,45349.0,14.6,212730.0,0.0061118266872526306
FL-519,pasco county,2016,0,0,0,0,117800.0,757.0,835.0,0.5006038523734468,92.0,0.0,0.26,5.9,46133.0,14.6,216242.0,1.3957481963886376
FL-519,pasco county,2017,0,0,0,0,122100.0,773.0,839.0,0.4949836677554829,82.0,0.0,0.27,5.2,46264.0,13.2,223250.0,0.0022547151135015042
FL-519,pasco county,2018,0,0,0,0,134300.0,796.0,864.0,0.4903711516429961,77.0,0.27,0.28,4.5,51347.0,13.1,226509.0,-0.6735778924222231
FL-600,miami-dade county,2013,0,0,1,0,221900.0,934.0,1229.0,0.6125252672307115,90.0,0.0,0.43,7.9,41400.0,20.8,1287313.0,0.07434987627881773
FL-600,miami-dade county,2014,0,0,1,0,201000.0,949.0,1211.0,0.6112849927278978,86.0,0.0,0.44,7.6,41913.0,21.0,1272817.0,-0.012181394315767036
FL-600,miami-dade county,2015,0,0,1,0,194100.0,962.0,1198.0,0.6158935987150015,77.0,0.0,0.45,6.8,42926.0,20.4,1298195.0,0.012535600518815748
FL-600,miami-dade county,2016,0,0,1,0,203300.0,977.0,1188.0,0.6179252915929283,70.0,0.0,0.46,6.1,43786.0,20.0,1295273.0,-0.13377440968667675
FL-600,miami-dade county,2017,0,0,1,0,221100.0,1000.0,1200.0,0.6139102484855977,64.0,0.0,0.47,5.5,45935.0,18.3,1305259.0,-0.05844076936419107
FL-600,miami-dade county,2018,0,0,1,0,242800.0,1060.0,1236.0,0.6135644611702309,63.0,0.26,0.48,4.8,49930.0,16.6,1348920.0,0.0037107797265700793
FL-601,broward county,2013,0,0,0,0,199900.0,1027.0,1307.0,0.5824907972654731,104.0,0.0,0.33,8.2,49793.0,15.1,957268.0,-0.03166230400818504
FL-601,broward county,2014,0,0,0,0,181500.0,1029.0,1281.0,0.584811647,96.0,0.0,0.34,7.1,50446.0,15.1,971733.0,-0.06814626592519857
FL-601,broward county,2015,0,0,0,0,177300.0,1044.0,1255.0,0.5747144388819005,85.0,0.0,0.35,6.1,51608.0,14.4,985640.0,-0.1257822615770796
FL-601,broward county,2016,0,0,0,0,185900.0,1061.0,1239.0,0.5780010057524132,79.0,0.0,0.36,5.2,53926.0,13.9,992033.0,0.04986259873099885
FL-601,broward county,2017,0,0,0,0,202300.0,1094.0,1251.0,0.5750297246183678,73.0,0.0,0.37,4.5,54212.0,13.5,1007259.0,-0.061335939707822584
FL-601,broward county,2018,0,0,0,0,223400.0,1140.0,1279.0,0.5775893165208118,74.0,0.29,0.38,4.0,56842.0,13.1,1014014.0,0.20829209509737878
FL-603,lee county,2013,0,0,0,0,161400.0,774.0,996.0,0.5200689009993614,164.0,0.0,0.28,9.1,46278.0,15.3,290468.0,-0.0006869844410490877
FL-603,lee county,2014,0,0,0,0,149400.0,780.0,966.0,0.5211839731844845,147.0,0.0,0.29,7.6,46383.0,16.5,298348.0,-0.31762672461458075
FL-603,lee county,2015,0,0,0,0,150000.0,776.0,940.0,0.5082832720247704,123.0,0.0,0.31,6.2,49055.0,16.3,309859.0,-0.30516311374705973
FL-603,lee county,2016,0,0,0,0,157400.0,790.0,926.0,0.4972544,107.0,0.0,0.31,5.2,50651.0,16.4,320586.0,-0.04065249283908512
FL-603,lee county,2017,0,0,0,0,171100.0,821.0,939.0,0.489820628,90.0,0.0,0.31,4.7,52909.0,12.9,330398.0,0.6546555923508641
FL-603,lee county,2018,0,0,0,0,190200.0,862.0,966.0,0.4822839088241932,88.0,0.28,0.3,4.2,53928.0,11.6,332639.0,-0.4995991087426467
FL-605,palm beach county,2013,0,0,0,0,216200.0,999.0,1230.0,0.562346823,104.0,0.0,0.28,8.8,51278.0,14.3,656413.0,0.005027478535413632
FL-605,palm beach county,2014,0,0,0,0,199700.0,994.0,1203.0,0.5684981201767694,95.0,0.0,0.29,7.5,51804.0,14.9,670585.0,-0.12534302376430817
FL-605,palm beach county,2015,0,0,0,0,194600.0,1011.0,1183.0,0.5652727134609541,85.0,0.0,0.3,6.0,52203.0,14.8,683721.0,-0.07627946097987559
FL-605,palm beach county,2016,0,0,0,0,204700.0,1026.0,1170.0,0.5633980276707615,77.0,0.0,0.31,5.2,56664.0,13.5,693582.0,0.18403554788457188
FL-605,palm beach county,2017,0,0,0,0,222700.0,1062.0,1184.0,0.5600989273014502,76.0,0.0,0.31,4.7,57580.0,12.5,711609.0,-0.19354681763881
FL-605,palm beach county,2018,0,0,0,0,242500.0,1115.0,1215.0,0.5633886047953942,78.0,0.31,0.31,4.2,60057.0,11.7,716528.0,0.05950559757164475
FL-606,collier county,2013,0,0,0,0,280700.0,885.0,1168.0,0.5276447540269917,137.0,0.0,0.25,8.7,54126.0,13.8,151770.0,-0.1122604523302273
FL-606,collier county,2014,0,0,0,0,261300.0,881.0,1119.0,0.5174143390074925,128.0,0.0,0.26,7.4,54406.0,12.8,155187.0,0.051843539429642815
FL-606,collier county,2015,0,0,0,0,258400.0,889.0,1098.0,0.5167041111078692,123.0,0.0,0.27,6.1,58026.0,14.5,159799.0,0.3709806996307128
FL-606,collier county,2016,0,0,0,0,272800.0,918.0,1104.0,0.5087816346286821,109.0,0.0,0.28,5.3,62126.0,14.2,164330.0,0.11578536715946686
FL-606,collier county,2017,0,0,0,0,291900.0,975.0,1129.0,0.5051222913537867,108.0,0.0,0.28,4.7,61228.0,11.4,169758.0,0.03594943126700145
FL-606,collier county,2018,0,0,0,0,316200.0,1032.0,1172.0,0.5060118939413613,106.0,0.27,0.28,4.2,66048.0,12.1,171952.0,-0.2500745222608045
GA-500,fulton county,2013,0,0,0,0,168900.0,792.0,1130.0,0.5215702363909355,117.0,0.0,0.43,8.4,49796.0,19.5,368157.0,-0.5683602013167774
GA-500,dekalb county,2014,0,0,0,0,238200.0,802.0,1179.0,0.4829669585494974,119.0,0.0,0.46,8.0,55914.0,17.6,507565.0,0.9441287641730369
GA-500,fulton county,2014,0,0,0,0,163600.0,795.0,1112.0,0.5230625085957915,111.0,0.0,0.44,7.3,50542.0,20.1,368198.0,-0.4971329441248551
GA-500,dekalb county,2015,0,0,0,0,237600.0,812.0,1173.0,0.483905416,105.0,0.0,0.47,7.1,55807.0,16.8,508619.0,0.3650321954935767
GA-500,fulton county,2015,0,0,0,0,163000.0,806.0,1105.0,0.5166434057347251,94.0,0.0,0.45,6.1,54057.0,17.3,368863.0,-0.2612664786880089
GA-500,dekalb county,2016,0,0,0,0,241300.0,821.0,1158.0,0.4727009926911749,91.0,0.0,0.48,6.1,60291.0,15.3,508815.0,0.29386237331376597
GA-500,fulton county,2016,0,0,0,0,168100.0,828.0,1110.0,0.5116754442921386,80.0,0.0,0.46,5.5,56109.0,17.3,382731.0,-0.5392943973106362
GA-500,dekalb county,2017,0,0,0,0,252700.0,854.0,1173.0,0.4715741499930785,81.0,0.0,0.49,5.5,63510.0,15.6,531124.0,0.508072946108084
GA-500,fulton county,2017,0,0,0,0,176000.0,865.0,1132.0,0.5004614013873863,65.0,0.33,0.46,4.8,61827.0,14.8,399020.0,-0.5017426412764433
GA-500,dekalb county,2018,0,0,0,0,268900.0,902.0,1210.0,0.4709262997823864,79.0,0.38,0.49,4.9,65037.0,14.2,554157.0,1.336162550643841
GA-500,fulton county,2018,0,0,0,0,192400.0,914.0,1172.0,0.4983650732368398,61.0,0.33,0.46,4.1,64461.0,13.8,398974.0,0.20276721647992302
GA-503,clarke county,2013,0,0,0,1,161100.0,606.0,838.0,0.5184755444484113,170.0,0.01,0.55,8.6,32571.0,33.9,57948.0,0.16275988076612746
GA-503,clarke county,2014,0,0,0,1,156600.0,619.0,842.0,0.5291760041372178,161.0,0.01,0.56,7.8,31551.0,37.7,57805.0,-0.10698058410526678
GA-503,clarke county,2015,0,0,0,1,152700.0,626.0,840.0,0.5376788816279262,143.0,0.01,0.57,7.0,29996.0,39.5,56136.0,-0.01516808496460853
GA-503,clarke county,2016,0,0,0,1,150300.0,634.0,832.0,0.5373735808114077,116.0,0.01,0.6,6.2,31284.0,38.6,56485.0,0.047172410584992
GA-503,clarke county,2017,0,0,0,1,152300.0,645.0,835.0,0.5356521739130434,82.0,0.01,0.61,5.6,34999.0,27.7,58767.0,-0.11482376863465804
GA-503,clarke county,2018,0,0,0,1,154600.0,663.0,845.0,0.5432727783829369,67.0,0.35,0.61,4.8,39825.0,27.0,61504.0,0.10920455843622534
GA-504,richmond county,2013,0,0,0,1,102500.0,567.0,798.0,0.4864679897965532,98.0,0.0,0.44,10.5,37154.0,26.4,88115.0,-0.005276430225659934
GA-504,richmond county,2014,0,0,0,1,100900.0,582.0,803.0,0.5051389649090798,96.0,0.0,0.45,9.8,35649.0,26.8,86594.0,-0.13952794552766645
GA-504,richmond county,2015,0,0,0,1,100400.0,596.0,814.0,0.4979577233833219,106.0,0.0,0.47,8.7,35793.0,24.9,84527.0,-0.2943297327344697
GA-504,richmond county,2016,0,0,0,1,101900.0,602.0,809.0,0.508410104,101.0,0.0,0.47,7.5,41672.0,23.1,83351.0,-0.1435070083533908
GA-504,richmond county,2017,0,0,0,1,100600.0,613.0,804.0,0.4974402233986852,89.0,0.0,0.47,6.8,41419.0,25.2,84842.0,0.09483056488482866
GA-504,richmond county,2018,0,0,0,1,100200.0,629.0,816.0,0.504789696,99.0,0.34,0.47,6.0,37324.0,23.0,86817.0,0.4207142485035338
GA-506,cobb county,2013,0,0,0,0,203000.0,798.0,1226.0,0.4839873703202526,104.0,0.0,0.32,7.6,63069.0,13.6,387385.0,0.036632037265432515
GA-506,cobb county,2014,0,0,0,0,196700.0,803.0,1202.0,0.4795981065950571,98.0,0.0,0.34,6.6,63086.0,13.5,388328.0,-0.21758245984616276
GA-506,cobb county,2015,0,0,0,0,194900.0,814.0,1188.0,0.4772587617641034,83.0,0.0,0.35,5.9,67043.0,12.8,392834.0,-0.03298732866157428
GA-506,cobb county,2016,0,0,0,0,197400.0,830.0,1163.0,0.4662865333084066,70.0,0.0,0.36,5.2,70246.0,11.1,393682.0,-0.014950060338727367
GA-506,cobb county,2017,0,0,0,0,205600.0,861.0,1163.0,0.4528837640066356,65.0,0.0,0.36,4.7,70947.0,9.6,410083.0,-0.04854509309663624
GA-506,cobb county,2018,0,0,0,0,219700.0,897.0,1187.0,0.4468700495681946,61.0,0.25,0.36,4.1,75654.0,9.2,425019.0,0.1694174823882244
IL-500,mchenry county,2013,0,0,0,0,233400.0,890.0,1624.0,0.4897500401434459,69.0,0.0,0.17,9.0,76683.0,7.9,167661.0,-0.1023347700170042
IL-500,mchenry county,2014,0,0,0,0,220500.0,913.0,1561.0,0.490077922,64.0,0.0,0.18,8.7,75449.0,6.7,167315.0,0.06605690224284944
IL-500,mchenry county,2015,0,0,0,0,213400.0,904.0,1523.0,0.4763679737587595,53.0,0.0,0.18,6.6,76628.0,6.4,165941.0,-0.12898276891734506
IL-500,mchenry county,2016,0,0,0,0,208200.0,918.0,1457.0,0.4619007252519544,56.0,0.0,0.19,5.5,80125.0,9.2,165854.0,-0.00040264857392091624
IL-500,mchenry county,2017,0,0,0,0,208500.0,941.0,1428.0,0.4534437400267391,44.0,0.0,0.21,5.4,81063.0,7.9,167872.0,0.15690459737791507
IL-500,mchenry county,2018,0,0,0,0,212600.0,989.0,1429.0,0.4431266138561863,42.0,0.2,0.21,4.4,86348.0,6.0,170561.0,-0.10943450379845931
IL-502,lake county,2013,0,0,0,0,267700.0,878.0,1645.0,0.4701946362902502,70.0,0.0,0.23,8.2,74334.0,9.3,365531.0,-0.17959121888363927
IL-502,lake county,2014,0,0,0,0,254800.0,897.0,1596.0,0.4732445791640115,67.0,0.0,0.24,7.9,74869.0,9.2,363470.0,-0.05452392554491048
IL-502,lake county,2015,0,0,0,0,247300.0,912.0,1554.0,0.4775680436010767,62.0,0.0,0.25,6.5,77772.0,9.3,364629.0,-0.2244377547382186
IL-502,lake county,2016,0,0,0,0,245300.0,927.0,1505.0,0.4732842706853339,58.0,0.0,0.26,5.4,82113.0,8.9,367278.0,-0.23797087631198832
IL-502,lake county,2017,0,0,0,0,246700.0,946.0,1478.0,0.4579255145884068,63.0,0.0,0.27,5.2,83152.0,8.5,373373.0,0.2195720054439554
IL-502,lake county,2018,0,0,0,0,251400.0,983.0,1484.0,0.4624757684851842,59.0,0.22,0.27,4.5,85895.0,7.4,372970.0,-0.08464037781240974
IL-503,champaign county,2013,0,0,0,1,149000.0,642.0,886.0,0.5407940240697192,68.0,0.0,0.46,7.1,46375.0,21.3,107160.0,-0.05239707604004107
IL-503,champaign county,2014,0,0,0,1,149500.0,658.0,888.0,0.5447181815633846,72.0,0.0,0.45,7.2,45682.0,22.3,106157.0,-0.211456446526871
IL-503,champaign county,2015,0,0,0,1,149200.0,672.0,886.0,0.5401209621226901,68.0,0.0,0.45,5.8,46776.0,23.5,106804.0,0.15582022610952673
IL-503,champaign county,2016,0,0,0,1,150200.0,682.0,888.0,0.5213383312508677,80.0,0.0,0.45,5.1,50252.0,20.7,107403.0,-0.1529192004717046
IL-503,champaign county,2017,0,0,0,1,151400.0,695.0,895.0,0.4940851299060254,87.0,0.0,0.45,5.0,50335.0,19.7,107858.0,0.17173211646092024
IL-503,champaign county,2018,0,0,0,1,154800.0,708.0,913.0,0.4946370194256072,96.0,0.35,0.45,4.3,50281.0,19.8,107070.0,-0.19568237483498885
IL-504,madison county,2013,0,0,0,0,124900.0,567.0,865.0,0.4904057991613957,54.0,0.0,0.26,8.9,51688.0,13.0,135081.0,0.1970086542079521
IL-504,madison county,2014,0,0,0,0,124600.0,583.0,864.0,0.4694437853777582,57.0,0.0,0.28,8.9,54101.0,13.8,133115.0,-0.2990770409715675
IL-504,madison county,2015,0,0,0,0,125100.0,592.0,861.0,0.459361654,57.0,0.0,0.29,7.1,54438.0,13.0,132263.0,0.18652952039074422
IL-504,madison county,2016,0,0,0,0,126500.0,599.0,847.0,0.447916332,60.0,0.0,0.29,6.0,52664.0,12.9,133247.0,-0.114474977476408
IL-504,madison county,2017,0,0,0,0,129200.0,605.0,849.0,0.4424875112078903,61.0,0.0,0.29,5.9,56035.0,13.4,135685.0,-0.16742131766464274
IL-504,madison county,2018,0,0,0,0,130200.0,616.0,859.0,0.4505030628114387,62.0,0.28,0.29,4.8,57890.0,15.1,134303.0,-0.3042863033806442
IL-506,will county,2013,0,0,0,0,228900.0,809.0,1616.0,0.4958952252821174,67.0,0.0,0.16,9.8,72180.0,8.3,357443.0,0.06886242514919094
IL-506,will county,2014,0,0,0,0,219400.0,831.0,1572.0,0.4800020967657388,65.0,0.0,0.17,9.9,74397.0,8.4,359245.0,0.09737133884204718
IL-506,will county,2015,0,0,0,0,212700.0,855.0,1520.0,0.4885830079572975,54.0,0.0,0.18,7.7,74828.0,7.9,357335.0,-0.14986184516574963
IL-506,will county,2016,0,0,0,0,209800.0,863.0,1464.0,0.4934484092447539,54.0,0.0,0.18,6.3,75992.0,7.9,356963.0,-0.03198316298329518
IL-506,will county,2017,0,0,0,0,210600.0,885.0,1442.0,0.4882444037730536,50.0,0.0,0.19,6.1,81438.0,7.0,362899.0,0.20983293058053842
IL-506,will county,2018,0,0,0,0,216400.0,917.0,1448.0,0.4817319432704048,63.0,0.21,0.19,5.1,82196.0,6.8,367608.0,-0.18290128174827824
IL-511,cook county,2013,0,0,0,0,244900.0,833.0,1196.0,0.4988185776304762,76.0,0.0,0.41,9.7,52174.0,17.9,2663370.0,-0.04935329926401333
IL-511,cook county,2014,0,0,0,0,231200.0,847.0,1191.0,0.4986801556497532,75.0,0.0,0.42,9.7,53827.0,17.7,2677937.0,-0.24161769551141044
IL-511,cook county,2015,0,0,0,0,222200.0,856.0,1191.0,0.4955044979363412,72.0,0.0,0.42,7.6,55069.0,17.0,2657984.0,0.07078391915016558
IL-511,cook county,2016,0,0,0,0,218700.0,863.0,1179.0,0.4886280123618449,66.0,0.0,0.43,6.3,56851.0,16.1,2647903.0,-0.18189294429934455
IL-511,cook county,2017,0,0,0,0,219800.0,883.0,1187.0,0.4795389620976374,60.0,0.0,0.43,6.2,60046.0,14.9,2664757.0,0.12587854016091615
IL-511,cook county,2018,0,0,0,0,227400.0,911.0,1208.0,0.4760204601399231,61.0,0.33,0.43,5.1,61405.0,14.4,2689206.0,0.033528396014441464
IL-514,dupage county,2013,0,0,0,0,298500.0,970.0,1536.0,0.4565737906059776,72.0,0.0,0.25,7.5,78268.0,7.2,508341.0,-0.0171550212541437
IL-514,dupage county,2014,0,0,0,0,286500.0,986.0,1508.0,0.4555305949041472,67.0,0.0,0.26,7.4,76195.0,6.8,511692.0,0.026391680716306487
IL-514,dupage county,2015,0,0,0,0,279700.0,1003.0,1486.0,0.4513820363628115,58.0,0.0,0.26,5.8,80015.0,7.9,510658.0,-0.17022547273292943
IL-514,dupage county,2016,0,0,0,0,278500.0,1029.0,1463.0,0.4423444041306168,48.0,0.0,0.26,4.8,81559.0,7.1,511797.0,-0.4040909142765665
IL-514,dupage county,2017,0,0,0,0,283500.0,1073.0,1453.0,0.439345762,48.0,0.0,0.27,4.8,84908.0,7.0,516779.0,-0.10728423192991166
IL-514,dupage county,2018,0,0,0,0,289900.0,1118.0,1479.0,0.4402711595813753,47.0,0.25,0.27,4.0,89521.0,6.0,522426.0,0.053890452713151626
IL-517,kane county,2013,0,0,0,0,233800.0,847.0,1494.0,0.5250852411105699,67.0,0.0,0.24,9.0,64638.0,12.1,266912.0,-0.10823367053071642
IL-517,kane county,2014,0,0,0,0,223100.0,854.0,1456.0,0.5220218670350874,63.0,0.0,0.25,8.6,72108.0,10.7,265252.0,-0.048365785431141894
IL-517,kane county,2015,0,0,0,0,216000.0,864.0,1413.0,0.5122191204063887,54.0,0.0,0.26,6.9,72541.0,10.6,265695.0,-0.08654515717522115
IL-517,kane county,2016,0,0,0,0,213200.0,869.0,1362.0,0.4928251711427067,48.0,0.0,0.26,5.8,70359.0,11.1,268642.0,0.008485550187260271
IL-517,kane county,2017,0,0,0,0,215800.0,890.0,1347.0,0.490577364,49.0,0.0,0.27,5.5,73347.0,10.8,271322.0,0.19545282759394533
IL-517,kane county,2018,0,0,0,0,223400.0,921.0,1359.0,0.4722080245336059,39.0,0.21,0.27,4.8,75628.0,9.2,269864.0,-0.09460171565190323
KS-505,johnson county,2013,0,0,0,0,211900.0,761.0,1259.0,0.401604424,57.0,0.0,0.29,4.6,73227.0,6.8,311453.0,-0.22598217344364746
KS-505,johnson county,2014,0,0,0,0,210900.0,773.0,1245.0,0.4058267155838325,52.0,0.0,0.3,4.3,73737.0,5.9,314912.0,0.031343616900066484
KS-505,johnson county,2015,0,0,0,0,212300.0,778.0,1226.0,0.4135945050603288,51.0,0.0,0.3,3.8,75679.0,6.5,321300.0,-0.12714699719082068
KS-505,johnson county,2016,0,0,0,0,215600.0,792.0,1208.0,0.3914263957117047,45.0,0.0,0.3,3.4,82892.0,5.3,325565.0,-0.15999520797259636
KS-505,johnson county,2017,0,0,0,0,222400.0,818.0,1211.0,0.3903512594787762,42.0,0.0,0.31,3.2,80553.0,5.6,329826.0,0.2785164159333904
KS-505,johnson county,2018,0,0,0,0,232500.0,849.0,1226.0,0.3880986895928121,41.0,0.26,0.31,3.0,82855.0,5.3,335466.0,0.11594996522250112
MD-503,anne arundel county,2013,0,0,0,0,349800.0,1234.0,1681.0,0.4678591062593261,5.3,0.0,0.26,5.9,89179.0,5.7,293879.0,-0.047523927409675926
MD-503,anne arundel county,2014,0,0,0,0,340000.0,1265.0,1678.0,0.4721015055098556,4.8,0.0,0.26,5.6,86230.0,7.1,296534.0,-0.13388510117673247
MD-503,anne arundel county,2015,0,0,0,0,333100.0,1304.0,1682.0,0.4570806352143077,4.7,0.0,0.26,5.0,87217.0,6.1,297403.0,0.155676348299709
MD-503,anne arundel county,2016,0,0,0,0,334100.0,1322.0,1656.0,0.4535806012992899,4.5,0.0,0.26,4.3,91230.0,5.6,300799.0,-0.04412006263149337
MD-503,anne arundel county,2017,0,0,0,0,338500.0,1348.0,1659.0,0.4406893715652921,4.8,0.0,0.26,3.7,96483.0,6.9,303234.0,-0.03132055693692959
MD-503,anne arundel county,2018,0,0,0,0,346000.0,1403.0,1688.0,0.4414888581760351,5.5,0.25,0.26,3.4,97085.0,5.8,313685.0,-0.17942615974579146
MD-504,howard county,2013,0,0,0,0,435300.0,1278.0,1902.0,0.4530661943767987,5.8,0.0,0.26,4.9,108844.0,4.5,168338.0,-0.13703909675249937
MD-504,howard county,2014,0,0,0,0,428100.0,1324.0,1911.0,0.4621365543179517,4.2,0.0,0.26,4.8,109476.0,4.5,171324.0,-0.036396812485195995
MD-504,howard county,2015,0,0,0,0,426300.0,1375.0,1898.0,0.46132443,3.4,0.0,0.27,4.3,107490.0,6.1,173385.0,0.27363715294360635
MD-504,howard county,2016,0,0,0,0,429100.0,1403.0,1885.0,0.4480598151545571,3.6,0.0,0.27,3.7,110892.0,4.5,176684.0,-0.2244389701694961
MD-504,howard county,2017,0,0,0,0,434700.0,1448.0,1886.0,0.4277646575623781,4.6,0.0,0.27,3.2,120941.0,4.7,179120.0,-0.006445005507493939
MD-504,howard county,2018,0,0,0,0,439900.0,1485.0,1908.0,0.4239958981370705,4.9,0.21,0.26,3.0,111473.0,6.3,186139.0,0.18726681375365728
MD-505,baltimore county,2012,0,0,0,0,263900.0,943.0,1264.0,0.4815513011187632,5.7,0.0,0.34,7.2,62444.0,9.7,440412.0,0.0
MD-505,baltimore county,2012,0,0,0,0,263900.0,943.0,1264.0,0.4815513011187632,5.7,0.0,0.34,7.2,62444.0,9.7,440412.0,0.0
MD-505,baltimore county,2012,0,0,0,0,263900.0,943.0,1264.0,0.4815513011187632,5.7,0.0,0.34,7.2,62444.0,9.7,440412.0,0.1409894488557315
MD-505,baltimore county,2013,0,0,0,0,263900.0,943.0,1264.0,0.4815513011187632,5.7,0.0,0.34,7.2,62444.0,9.7,440412.0,0.0
MD-505,baltimore county,2013,0,0,0,0,253300.0,962.0,1260.0,0.4857153740667377,6.0,0.0,0.33,6.8,64795.0,9.6,442142.0,0.0
MD-505,baltimore county,2013,0,0,0,0,253300.0,962.0,1260.0,0.4857153740667377,6.0,0.0,0.33,6.8,64795.0,9.6,442142.0,0.0
MD-505,baltimore county,2013,0,0,0,0,253300.0,962.0,1260.0,0.4857153740667377,6.0,0.0,0.33,6.8,64795.0,9.6,442142.0,-0.3837763193298138
MD-505,baltimore county,2014,0,0,0,0,253300.0,962.0,1260.0,0.4857153740667377,6.0,0.0,0.33,6.8,64795.0,9.6,442142.0,0.0
MD-505,baltimore county,2014,0,0,0,0,248700.0,982.0,1256.0,0.4854780019847833,5.8,0.0,0.34,6.0,68257.0,9.7,441320.0,0.0
MD-505,baltimore county,2014,0,0,0,0,248700.0,982.0,1256.0,0.4854780019847833,5.8,0.0,0.34,6.0,68257.0,9.7,441320.0,0.0
MD-505,baltimore county,2014,0,0,0,0,248700.0,982.0,1256.0,0.4854780019847833,5.8,0.0,0.34,6.0,68257.0,9.7,441320.0,0.302693405649449
MD-505,baltimore county,2015,0,0,0,0,248700.0,982.0,1256.0,0.4854780019847833,5.8,0.0,0.34,6.0,68257.0,9.7,441320.0,0.0
MD-505,baltimore county,2015,0,0,0,0,246600.0,998.0,1253.0,0.4863473950583351,6.0,0.0,0.34,5.2,68775.0,9.2,444707.0,0.0
MD-505,baltimore county,2015,0,0,0,0,246600.0,998.0,1253.0,0.4863473950583351,6.0,0.0,0.34,5.2,68775.0,9.2,444707.0,0.0
MD-505,baltimore county,2015,0,0,0,0,246600.0,998.0,1253.0,0.4863473950583351,6.0,0.0,0.34,5.2,68775.0,9.2,444707.0,0.024286779193963826
MD-505,baltimore county,2016,0,0,0,0,246600.0,998.0,1253.0,0.4863473950583351,6.0,0.0,0.34,5.2,68775.0,9.2,444707.0,0.0
