CoC Number,County,Year,CoC_Category_Largely Rural CoC,CoC_Category_Largely Rural CoC,CoC_Category_Major City CoC,CoC_Category_Other Largely Urban CoC,Median_House_Values_5_year_lag1,Median_Rent_5_year_lag1,Median_Gross_Rent_5_year_lag1,Percentage_of_Households_with_Cost_Burden_5_year_lag1,Rental_Vacancy_Rates_5_year_lag1,Share_of_Single_Person_Households_5_year_lag1,Share_of_Renter_Occupied_Units_5_year_lag1,Unemployment Rate_lag1,Median Household Income_lag1,Poverty Rate_lag1,Labor Force_lag1,pct_change_total_homeless_per_10k
CA-503,sacramento county,2017,0,0,1,0,271300.0,936.0,1215.0,0.5245959241040056,51.0,0.0,0.45,5.4,59780.0,16.4,693979.0,-0.018647760415146042
CA-503,sacramento county,2018,0,0,1,0,299900.0,981.0,1251.0,0.521885849,43.0,0.26,0.45,4.7,63045.0,14.1,696466.0,0.5247969569323379
CA-504,sonoma county,2013,0,0,0,1,430900.0,1149.0,1487.0,0.5329944262386914,51.0,0.0,0.39,9.0,59941.0,12.1,245671.0,-0.013764442873772764
CA-504,sonoma county,2014,0,0,0,1,407400.0,1161.0,1478.0,0.5352713911328452,48.0,0.0,0.4,7.2,61029.0,12.4,249019.0,-0.27670759463252925
CA-504,sonoma county,2015,0,0,0,1,414500.0,1193.0,1486.0,0.5455400180094284,43.0,0.0,0.4,5.7,67771.0,11.3,255563.0,-0.06339603346912637
CA-504,sonoma county,2016,0,0,0,1,436400.0,1209.0,1475.0,0.5385736035279295,37.0,0.0,0.41,4.5,66674.0,11.1,257659.0,-0.026651444702304516
CA-504,sonoma county,2017,0,0,0,1,464700.0,1261.0,1504.0,0.5338079691617826,33.0,0.0,0.4,4.0,73929.0,9.2,259214.0,0.06582672725838656
CA-504,sonoma county,2018,0,0,0,1,513300.0,1327.0,1577.0,0.5308283631544068,29.0,0.28,0.4,3.4,80409.0,9.2,259768.0,-0.0038498959232976526
CA-505,contra costa county,2013,0,0,0,0,433800.0,1234.0,1780.0,0.5304203584577416,54.0,0.0,0.33,9.1,74177.0,11.2,534520.0,-0.01098681635396559
CA-505,contra costa county,2014,0,0,0,0,404000.0,1250.0,1741.0,0.527302128,52.0,0.0,0.34,7.6,79100.0,10.8,536032.0,-0.0028720214766655427
CA-505,contra costa county,2015,0,0,0,0,417400.0,1289.0,1719.0,0.5293091783808164,46.0,0.0,0.35,6.2,80361.0,10.5,538458.0,-0.1544926926118061
CA-505,contra costa county,2016,0,0,0,0,439900.0,1315.0,1700.0,0.5229816587977467,35.0,0.0,0.35,5.1,83104.0,10.3,544617.0,-0.08106536493153549
CA-505,contra costa county,2017,0,0,0,0,472900.0,1393.0,1736.0,0.5126231952576644,30.0,0.0,0.35,4.5,91045.0,8.6,553221.0,0.38681289749187053
CA-505,contra costa county,2018,0,0,0,0,522300.0,1480.0,1811.0,0.5066519836899908,28.0,0.22,0.34,3.9,95339.0,9.3,557869.0,0.02435657708782335
CA-507,marin county,2013,0,0,0,0,810700.0,1491.0,1965.0,0.5302613836738927,32.0,0.0,0.37,6.4,90535.0,7.9,136522.0,-0.004749414240895811
CA-507,marin county,2014,0,0,0,0,781900.0,1520.0,1985.0,0.5318665831506421,34.0,0.0,0.37,5.2,96580.0,8.4,137807.0,0.9375899152737792
CA-507,marin county,2015,0,0,0,0,785100.0,1561.0,2005.0,0.5349730178497302,30.0,0.0,0.37,4.3,95749.0,8.8,138458.0,-0.043436240585168484
CA-507,marin county,2016,0,0,0,0,815100.0,1587.0,2000.0,0.5151126062504815,27.0,0.0,0.38,3.6,100662.0,7.1,138677.0,-0.11311705180729259
CA-507,marin county,2017,0,0,0,0,859400.0,1686.0,2106.0,0.4980366492146597,26.0,0.0,0.37,3.3,103845.0,7.8,139632.0,-0.01482931441003188
CA-507,marin county,2018,0,0,0,0,908800.0,1781.0,2230.0,0.4981091877496671,23.0,0.31,0.36,2.9,113908.0,8.2,139632.0,-0.05264313427610112
CA-510,stanislaus county,2013,0,0,0,0,192200.0,824.0,1165.0,0.5534631907255929,58.0,0.0,0.41,15.1,46405.0,20.3,241659.0,-0.04923994793112929
CA-510,stanislaus county,2014,0,0,0,0,172900.0,825.0,1137.0,0.5506518410395111,63.0,0.0,0.42,13.1,47962.0,22.1,240268.0,0.20353474512779135
