CoC Number,County,Year,SSDI Participation Rate (Percent),Unemployment Rate,HPI with 2000 base,HPI,Year,Estimate Total Asian alone,Share_of_Single_Person_Households_1_year,Share_of_Single_Person_Households_5_year,Median_House_Values_1_year,Total Civilian Noninstitutionalized Population Estimate Population Age 16 and Over,Blind and disabled,Overall Homeless - Multiple Races,CoC_Category_Largely Rural CoC,CoC_Category_Largely Suburban CoC,CoC_Category_Major City CoC,CoC_Category_Other Largely Urban CoC,total_homeless_per_10k_lag1,total_sheltered_homeless_per_10k_lag1,unsheltered_homeless_per_10k_lag1,Median_House_Values_5_year_lag1,Median_Rent_5_year_lag1,Median_Gross_Rent_5_year_lag1,Percentage_of_Households_with_Cost_Burden_5_year_lag1,Rental_Vacancy_Rates_5_year_lag1,Share_of_Single_Person_Households_5_year_lag1,Share_of_Renter_Occupied_Units_5_year_lag1,Unemployment Rate_lag1,Median Household Income_lag1,Poverty Rate_lag1,Labor Force_lag1,pct_change_total_homeless_per_10k,target_class
FL-601,broward county,2016,2.358974292,4.5,200.02,469.28,2016,0.04,0.0,0.0,246100.0,1540712.0,32189.0,41,0,1,0,0,12.054678597761244,7.959648770024801,4.095029827736443,185900.0,1061.0,1239.0,0.5780010057524132,79.0,0.0,0.36,5.2,53926.0,13.9,992033.0,0.04986259873099885,1
FL-601,broward county,2017,2.284755439,4.0,215.74,506.15,2017,0.04,0.3,0.29,260700.0,1563187.0,32156.0,17,0,1,0,0,12.655756199512574,7.7122628595397025,4.94349334,202300.0,1094.0,1251.0,0.5750297246183678,73.0,0.0,0.37,4.5,54212.0,13.5,1007259.0,-0.061335939707822584,0
FL-601,broward county,2018,2.216074929762877,3.5,232.15,544.66,2018,0.04,0.3,0.29,277600.0,1573954.0,31814.0,29,0,1,0,0,11.879503500302368,7.425970911103595,4.453532589198774,223400.0,1140.0,1279.0,0.5775893165208118,74.0,0.29,0.38,4.0,56842.0,13.1,1014014.0,0.20829209509737878,1
FL-603,lee county,2013,3.2973267706092138,7.6,128.74,334.16,2013,0.02,0.0,0.0,154800.0,542864.0,10409.0,0,0,1,0,0,12.82681530444779,6.836934572653775,5.989880731794015,161400.0,774.0,996.0,0.5200689009993614,164.0,0.0,0.28,9.1,46278.0,15.3,290468.0,-0.0006869844410490877,0
FL-603,lee county,2014,3.302123837663101,6.2,143.25,371.82,2014,0.02,0.0,0.0,163400.0,561154.0,10772.0,0,0,1,0,0,12.818003481905423,6.283912154734346,6.534091327171077,149400.0,780.0,966.0,0.5211839731844845,147.0,0.0,0.29,7.6,46383.0,16.5,298348.0,-0.31762672461458075,0
FL-603,lee county,2015,3.2353972926869536,5.2,158.91,412.45,2015,0.02,0.0,0.0,184200.0,581536.0,10648.0,9,0,1,0,0,8.746663019849512,4.273613853346667,4.473049166502845,150000.0,776.0,940.0,0.5082832720247704,123.0,0.0,0.31,6.2,49055.0,16.3,309859.0,-0.30516311374705973,0
FL-603,lee county,2016,3.155828073619877,4.7,175.67,455.96,2016,0.02,0.0,0.0,210900.0,600001.0,10604.0,8,0,1,0,0,6.077504097815974,3.544057059318655,2.533447038,157400.0,790.0,926.0,0.4972544,107.0,0.0,0.31,5.2,50651.0,16.4,320586.0,-0.04065249283908512,0
FL-603,lee county,2017,3.049558145016257,4.2,187.99,487.92,2017,0.02,0.28,0.28,225300.0,619434.0,10424.0,8,0,1,0,0,5.830438406,3.300758633377704,2.529679772301765,171100.0,821.0,939.0,0.489820628,90.0,0.0,0.31,4.7,52909.0,12.9,330398.0,0.6546555923508641,1
FL-603,lee county,2018,2.9041672193901724,3.5,198.24,514.54,2018,0.02,0.29,0.28,235000.0,633228.0,10327.0,3,0,1,0,0,9.647367514345158,6.943984309775911,2.703383204569248,190200.0,862.0,966.0,0.4822839088241932,88.0,0.28,0.3,4.2,53928.0,11.6,332639.0,-0.4995991087426467,0
FL-605,palm beach county,2013,2.3393083985269305,7.5,141.32,344.69,2013,0.02,0.0,0.0,193000.0,1122554.0,17594.0,0,0,1,0,0,11.361557706728972,4.460085514123239,6.901472192605732,216200.0,999.0,1230.0,0.562346823,104.0,0.0,0.28,8.8,51278.0,14.3,656413.0,0.005027478535413632,1
FL-605,palm beach county,2014,2.319841364045776,6.0,161.36,393.56,2014,0.03,0.0,0.0,211200.0,1145768.0,17909.0,0,0,1,0,0,11.418677694228416,4.643309413254538,6.775368280973878,199700.0,994.0,1203.0,0.5684981201767694,95.0,0.0,0.29,7.5,51804.0,14.9,670585.0,-0.12534302376430817,0
FL-605,palm beach county,2015,2.2847341337907374,5.2,179.03,436.67,2015,0.03,0.0,0.0,246200.0,1166000.0,18364.0,28,0,1,0,0,9.987426104643768,4.188955635726731,5.798470468917035,194600.0,1011.0,1183.0,0.5652727134609541,85.0,0.0,0.3,6.0,52203.0,14.8,683721.0,-0.07627946097987559,0
FL-605,palm beach county,2016,2.210150401642188,4.7,197.03,480.58,2016,0.03,0.0,0.0,269600.0,1184761.0,18259.0,37,0,1,0,0,9.225590624805204,3.511542377459638,5.7140482473455645,204700.0,1026.0,1170.0,0.5633980276707615,77.0,0.0,0.31,5.2,56664.0,13.5,693582.0,0.18403554788457188,1
FL-605,palm beach county,2017,2.1194514029716225,4.2,212.93,519.36,2017,0.03,0.32,0.31,282900.0,1207152.0,18052.0,36,0,1,0,0,10.92342725,3.575434184141658,7.347993066648541,222700.0,1062.0,1184.0,0.5600989273014502,76.0,0.0,0.31,4.7,57580.0,12.5,711609.0,-0.19354681763881,0
FL-605,palm beach county,2018,2.0600650993630447,3.7,228.97,558.49,2018,0.03,0.32,0.31,299800.0,1225204.0,17670.0,13,0,1,0,0,8.809232668053442,3.082221972474008,5.727010695579434,242500.0,1115.0,1215.0,0.5633886047953942,78.0,0.31,0.31,4.2,60057.0,11.7,716528.0,0.05950559757164475,1
FL-606,collier county,2013,2.7993819659039616,7.4,134.86,558.37,2013,0.01,0.0,0.0,260400.0,780155.0,22795.0,0,0,1,0,0,11.65933541788118,10.069426042715564,1.5899093751656157,280700.0,885.0,1168.0,0.5276447540269917,137.0,0.0,0.25,8.7,54126.0,13.8,151770.0,-0.1122604523302273,0
FL-606,collier county,2014,2.7993819659039616,6.1,153.39,635.11,2014,0.01,0.0,0.0,273100.0,780155.0,22795.0,0,0,1,0,0,10.35045315,9.346946616,1.003506538561889,261300.0,881.0,1119.0,0.5174143390074925,128.0,0.0,0.26,7.4,54406.0,12.8,155187.0,0.051843539429642815,1
FL-606,collier county,2015,2.7993819659039616,5.3,176.03,728.84,2015,0.01,0.0,0.0,315000.0,780155.0,22795.0,32,0,1,0,0,10.887057275996696,9.65561635,1.231440925819678,258400.0,889.0,1098.0,0.5167041111078692,123.0,0.0,0.27,6.1,58026.0,14.5,159799.0,0.3709806996307128,1
FL-606,collier county,2016,2.7993819659039616,4.7,193.18,799.86,2016,0.01,0.0,0.0,357300.0,780155.0,22795.0,24,0,1,0,0,14.925945401165594,8.982954296481312,5.942991104684282,272800.0,918.0,1104.0,0.5087816346286821,109.0,0.0,0.28,5.3,62126.0,14.2,164330.0,0.11578536715946686,1
FL-606,collier county,2017,2.7993819659039616,4.2,201.56,834.56,2017,0.02,0.27,0.27,358900.0,780155.0,22795.0,62,0,1,0,0,16.654151469641707,11.639133233211757,5.015018236429951,291900.0,975.0,1129.0,0.5051222913537867,108.0,0.0,0.28,4.7,61228.0,11.4,169758.0,0.03594943126700145,1
FL-606,collier county,2018,2.7993819659039616,3.5,213.48,883.93,2018,0.01,0.28,0.27,369700.0,780155.0,22795.0,34,0,1,0,0,17.252858743209824,11.62520344106022,5.627655302149606,316200.0,1032.0,1172.0,0.5060118939413613,106.0,0.27,0.28,4.2,66048.0,12.1,171952.0,-0.2500745222608045,0
GA-500,fulton county,2013,2.5079127178838463,8.0,114.16,479.03,2013,0.06,0.0,0.0,231800.0,769963.0,22954.0,0,0,1,0,0,11.091709466448616,7.200610390203846,3.891099076244771,168900.0,792.0,1130.0,0.5215702363909355,117.0,0.0,0.43,8.4,49796.0,19.5,368157.0,-0.5683602013167774,0
GA-500,dekalb county,2014,2.9132753996199767,7.3,151.52,559.69,2014,0.06,0.0,0.0,158800.0,562597.0,16268.0,0,0,1,0,0,4.787623241150675,3.753817803334072,1.0338054378166028,238200.0,802.0,1179.0,0.4829669585494974,119.0,0.0,0.46,8.0,55914.0,17.6,507565.0,0.9441287641730369,1
GA-500,fulton county,2014,2.460408508565606,7.1,124.27,521.43,2014,0.06,0.0,0.0,248800.0,780155.0,23780.0,0,0,1,0,0,9.307756055144372,6.627013448618873,2.680742606525499,163600.0,795.0,1112.0,0.5230625085957915,111.0,0.0,0.44,7.3,50542.0,20.1,368198.0,-0.4971329441248551,0
GA-500,dekalb county,2015,2.846334623415427,6.1,151.52,559.69,2015,0.06,0.0,0.0,176800.0,572315.0,16215.0,22,0,1,0,0,4.680563884254504,4.156103237604422,0.5244606466500819,237600.0,812.0,1173.0,0.483905416,105.0,0.0,0.47,7.1,55807.0,16.8,508619.0,0.3650321954935767,1
GA-500,fulton county,2015,2.437325026317052,6.1,133.38,559.69,2015,0.07,0.0,0.0,274700.0,792262.0,24062.0,2,0,1,0,0,6.389120395071868,4.254911045343844,2.1342093497280232,163000.0,806.0,1105.0,0.5166434057347251,94.0,0.0,0.45,6.1,54057.0,17.3,368863.0,-0.2612664786880089,0
GA-500,dekalb county,2016,2.7993819659039616,5.5,151.52,559.69,2016,0.06,0.0,0.0,200500.0,576020.0,16121.0,8,0,1,0,0,4.719857407537701,4.123767755654057,0.5960896518836433,241300.0,821.0,1158.0,0.4727009926911749,91.0,0.0,0.48,6.1,60291.0,15.3,508815.0,0.29386237331376597,1
GA-500,fulton county,2016,2.360129609628144,5.5,144.02,604.32,2016,0.07,0.0,0.0,288900.0,810125.0,24160.0,2,0,1,0,0,6.106845907019288,3.650831792239792,2.4560141147794967,168100.0,828.0,1110.0,0.5116754442921386,80.0,0.0,0.46,5.5,56109.0,17.3,382731.0,-0.5392943973106362,0
GA-500,dekalb county,2017,2.687890027479593,4.8,151.52,559.69,2017,0.06,0.32,0.33,199800.0,590984.0,15874.0,13,0,1,0,0,2.8134581241243954,1.949255969956492,0.864202154,252700.0,854.0,1173.0,0.4715741499930785,81.0,0.0,0.49,5.5,63510.0,15.6,531124.0,0.508072946108084,1
GA-500,fulton county,2017,2.271226037077871,4.9,152.98,641.89,2017,0.07,0.37,0.38,306200.0,823564.0,24124.0,5,0,1,0,0,4.242900082,2.352760792959694,1.8901392887260464,176000.0,865.0,1132.0,0.5004614013873863,65.0,0.33,0.46,4.8,61827.0,14.8,399020.0,-0.5017426412764433,0
GA-500,dekalb county,2018,2.633847171081151,4.1,151.52,559.69,2018,0.06,0.34,0.33,235100.0,592859.0,15695.0,3,0,1,0,0,2.114056188185282,1.2760519334091347,0.8380042547761481,268900.0,902.0,1210.0,0.4709262997823864,79.0,0.38,0.49,4.9,65037.0,14.2,554157.0,1.336162550643841,1
GA-500,fulton county,2018,2.182113001811363,4.1,164.8,691.52,2018,0.07,0.36,0.38,333200.0,837491.0,23735.0,0,0,1,0,0,4.938778896795325,2.3442737163455143,2.594505180449811,192400.0,914.0,1172.0,0.4983650732368398,61.0,0.33,0.46,4.1,64461.0,13.8,398974.0,0.20276721647992302,1
GA-503,clarke county,2013,2.7993819659039616,7.8,111.73,469.62,2013,0.04,0.01,0.01,141800.0,780155.0,22795.0,0,0,0,0,1,17.56483733971055,9.730754958149507,7.834082381561044,161100.0,606.0,838.0,0.5184755444484113,170.0,0.01,0.55,8.6,32571.0,33.9,57948.0,0.16275988076612746,1
GA-503,clarke county,2014,2.7993819659039616,7.0,116.69,490.48,2014,0.05,0.01,0.01,150000.0,780155.0,22795.0,0,0,0,0,1,20.42368817079826,13.229919462865269,7.193768707932991,156600.0,619.0,842.0,0.5291760041372178,161.0,0.01,0.56,7.8,31551.0,37.7,57805.0,-0.10698058410526678,0
GA-503,clarke county,2015,2.7993819659039616,6.2,120.95,508.39,2015,0.04,0.01,0.01,153300.0,780155.0,22795.0,4,0,0,0,1,18.238750080702435,10.894828588030215,7.343921492672219,152700.0,626.0,840.0,0.5376788816279262,143.0,0.01,0.57,7.0,29996.0,39.5,56136.0,-0.01516808496460853,0
GA-503,clarke county,2016,2.7993819659039616,5.6,129.93,546.15,2016,0.04,0.01,0.01,170400.0,780155.0,22795.0,5,0,0,0,1,17.96210316983008,11.867818165780587,6.0942850040494925,150300.0,634.0,832.0,0.5373735808114077,116.0,0.01,0.6,6.2,31284.0,38.6,56485.0,0.047172410584992,1
GA-503,clarke county,2017,2.7993819659039616,4.8,139.72,587.31,2017,0.04,0.29,0.35,167300.0,780155.0,22795.0,0,0,0,0,1,18.80941887552729,11.49027261852295,7.319146257004345,152300.0,645.0,835.0,0.5356521739130434,82.0,0.01,0.61,5.6,34999.0,27.7,58767.0,-0.11482376863465804,0
GA-503,clarke county,2018,2.7993819659039616,4.0,151.19,635.51,2018,0.04,0.29,0.33,191800.0,780155.0,22795.0,11,0,0,0,1,16.649650514411373,13.036990497133432,3.612660017277939,154600.0,663.0,845.0,0.5432727783829369,67.0,0.35,0.61,4.8,39825.0,27.0,61504.0,0.10920455843622534,1
GA-504,richmond county,2013,2.7993819659039616,9.8,114.56,317.62,2013,0.02,0.01,0.0,94800.0,780155.0,22795.0,0,0,0,0,1,23.56400647515136,16.336391043697372,7.227615431453988,102500.0,567.0,798.0,0.4864679897965532,98.0,0.0,0.44,10.5,37154.0,26.4,88115.0,-0.005276430225659934,0
GA-504,richmond county,2014,2.7993819659039616,8.7,115.17,319.32,2014,0.02,0.01,0.0,102400.0,780155.0,22795.0,0,0,0,0,1,23.439672639148224,16.189265424496444,7.250407214651783,100900.0,582.0,803.0,0.5051389649090798,96.0,0.0,0.45,9.8,35649.0,26.8,86594.0,-0.13952794552766645,0
GA-504,richmond county,2015,2.7993819659039616,7.5,119.05,330.07,2015,0.02,0.0,0.0,102200.0,780155.0,22795.0,16,0,0,0,1,20.169183271966816,13.77649373367758,6.392689538289237,100400.0,596.0,814.0,0.4979577233833219,106.0,0.0,0.47,8.7,35793.0,24.9,84527.0,-0.2943297327344697,0
GA-504,richmond county,2016,2.7993819659039616,6.8,119.75,332.0,2016,0.02,0.0,0.0,101600.0,780155.0,22795.0,9,0,0,0,1,14.232792950056286,13.191369075661925,1.0414238743943625,101900.0,602.0,809.0,0.508410104,101.0,0.0,0.47,7.5,41672.0,23.1,83351.0,-0.1435070083533908,0
GA-504,richmond county,2017,2.7993819659039616,6.0,128.12,355.21,2017,0.02,0.34,0.34,101800.0,780155.0,22795.0,9,0,0,0,1,12.190287413280476,9.861248761149652,2.329038652130823,100600.0,613.0,804.0,0.4974402233986852,89.0,0.0,0.47,6.8,41419.0,25.2,84842.0,0.09483056488482866,1
GA-504,richmond county,2018,2.7993819659039616,5.2,134.07,371.72,2018,0.02,0.39,0.34,108500.0,780155.0,22795.0,10,0,0,0,1,13.34629925479028,11.014417972354805,2.3318812824354764,100200.0,629.0,816.0,0.504789696,99.0,0.34,0.47,6.0,37324.0,23.0,86817.0,0.4207142485035338,1
GA-506,cobb county,2013,2.7993819659039616,6.6,105.07,312.77,2013,0.05,0.0,0.0,182700.0,780155.0,22795.0,0,0,1,0,0,6.901936725275032,4.894100587013204,2.0078361382618275,203000.0,798.0,1226.0,0.4839873703202526,104.0,0.0,0.32,7.6,63069.0,13.6,387385.0,0.036632037265432515,1
GA-506,cobb county,2014,2.7993819659039616,5.9,117.91,350.98,2014,0.05,0.0,0.0,203600.0,780155.0,22795.0,0,0,1,0,0,7.154768728598965,5.184813285160627,1.9699554434383384,196700.0,803.0,1202.0,0.4795981065950571,98.0,0.0,0.34,6.6,63086.0,13.5,388328.0,-0.21758245984616276,0
GA-506,cobb county,2015,2.7993819659039616,5.2,125.32,373.03,2015,0.05,0.0,0.0,224300.0,780155.0,22795.0,14,0,1,0,0,5.598016549,4.370499666816847,1.2275168817294229,194900.0,814.0,1188.0,0.4772587617641034,83.0,0.0,0.35,5.9,67043.0,12.8,392834.0,-0.03298732866157428,0
GA-506,cobb county,2016,2.7993819659039616,4.7,135.53,403.43,2016,0.05,0.0,0.0,234100.0,780155.0,22795.0,4,0,1,0,0,5.413352937245205,4.197019314308628,1.2163336229365769,197400.0,830.0,1163.0,0.4662865333084066,70.0,0.0,0.36,5.2,70246.0,11.1,393682.0,-0.014950060338727367,0
GA-506,cobb county,2017,2.7993819659039616,4.1,145.95,434.45,2017,0.05,0.25,0.25,254300.0,780155.0,22795.0,25,0,1,0,0,5.332422984198562,3.771068363515112,1.56135462068345,205600.0,861.0,1163.0,0.4528837640066356,65.0,0.0,0.36,4.7,70947.0,9.6,410083.0,-0.04854509309663624,0
GA-506,cobb county,2018,2.7993819659039616,3.5,158.3,471.2,2018,0.06,0.24,0.25,278700.0,780155.0,22795.0,13,0,1,0,0,5.073560014,3.5144973013681438,1.559062712636996,219700.0,897.0,1187.0,0.4468700495681946,61.0,0.25,0.36,4.1,75654.0,9.2,425019.0,0.1694174823882244,1
IL-500,mchenry county,2013,2.7993819659039616,8.7,91.48,338.44,2013,0.03,0.0,0.0,196400.0,780155.0,22795.0,0,0,1,0,0,6.018041111353279,5.855391351586973,0.1626497597663048,233400.0,890.0,1624.0,0.4897500401434459,69.0,0.0,0.17,9.0,76683.0,7.9,167661.0,-0.1023347700170042,0
IL-500,mchenry county,2014,2.7993819659039616,6.6,97.71,361.48,2014,0.02,0.0,0.0,210900.0,780155.0,22795.0,0,0,1,0,0,5.402186258270064,5.239469804707713,0.1627164535623513,220500.0,913.0,1561.0,0.490077922,64.0,0.0,0.18,8.7,75449.0,6.7,167315.0,0.06605690224284944,1
IL-500,mchenry county,2015,2.7993819659039616,5.5,102.16,377.93,2015,0.03,0.0,0.0,205300.0,780155.0,22795.0,9,0,1,0,0,5.759037947830275,5.466205509805007,0.2928324380252682,213400.0,904.0,1523.0,0.4763679737587595,53.0,0.0,0.18,6.6,76628.0,6.4,165941.0,-0.12898276891734506,0
IL-500,mchenry county,2016,2.7993819659039616,5.4,105.14,388.96,2016,0.03,0.0,0.0,216700.0,780155.0,22795.0,0,0,1,0,0,5.016221287019062,4.885929825018566,0.1302914620004951,208200.0,918.0,1457.0,0.4619007252519544,56.0,0.0,0.19,5.5,80125.0,9.2,165854.0,-0.00040264857392091624,0
IL-500,mchenry county,2017,2.7993819659039616,4.4,110.36,408.27,2017,0.02,0.19,0.2,227900.0,780155.0,22795.0,5,0,1,0,0,5.014201512671372,4.852453076778748,0.1617484358926249,208500.0,941.0,1428.0,0.4534437400267391,44.0,0.0,0.21,5.4,81063.0,7.9,167872.0,0.15690459737791507,1
IL-500,mchenry county,2018,2.7993819659039616,3.6,115.41,426.98,2018,0.03,0.2,0.2,233200.0,780155.0,22795.0,2,0,1,0,0,5.800952782188807,5.638914994976829,0.1620377872119778,212600.0,989.0,1429.0,0.4431266138561863,42.0,0.2,0.21,4.4,86348.0,6.0,170561.0,-0.10943450379845931,0
IL-502,lake county,2013,2.7993819659039616,7.9,101.96,421.5,2013,0.07,0.0,0.0,236600.0,780155.0,22795.0,0,0,1,0,0,7.069510212384018,6.998388379261442,0.071121833,267700.0,878.0,1645.0,0.4701946362902502,70.0,0.0,0.23,8.2,74334.0,9.3,365531.0,-0.17959121888363927,0
IL-502,lake county,2014,2.7993819659039616,6.5,108.16,447.15,2014,0.07,0.0,0.0,247500.0,780155.0,22795.0,0,0,1,0,0,5.799888256431637,5.728984977013157,0.070903279,254800.0,897.0,1596.0,0.4732445791640115,67.0,0.0,0.24,7.9,74869.0,9.2,363470.0,-0.05452392554491048,0
IL-502,lake county,2015,2.7993819659039616,5.4,111.56,461.18,2015,0.07,0.0,0.0,258100.0,780155.0,22795.0,28,0,1,0,0,5.483655580969158,5.412623772925516,0.071031808,247300.0,912.0,1554.0,0.4775680436010767,62.0,0.0,0.25,6.5,77772.0,9.3,364629.0,-0.2244377547382186,0
IL-502,lake county,2016,2.7993819659039616,5.2,114.02,471.37,2016,0.07,0.0,0.0,264100.0,780155.0,22795.0,10,0,1,0,0,4.252916234618739,3.9826640324188856,0.2702522021998529,245300.0,927.0,1505.0,0.4732842706853339,58.0,0.0,0.26,5.4,82113.0,8.9,367278.0,-0.23797087631198832,0
IL-502,lake county,2017,2.7993819659039616,4.5,116.07,479.82,2017,0.08,0.22,0.22,262600.0,780155.0,22795.0,7,0,1,0,0,3.240846031385036,2.8570616329315444,0.383784398,246700.0,946.0,1478.0,0.4579255145884068,63.0,0.0,0.27,5.2,83152.0,8.5,373373.0,0.2195720054439554,1
IL-502,lake county,2018,2.7993819659039616,4.5,117.47,485.63,2018,0.08,0.23,0.22,269300.0,780155.0,22795.0,9,0,1,0,0,3.952445093831332,3.609994977398293,0.3424501164330396,251400.0,983.0,1484.0,0.4624757684851842,59.0,0.22,0.27,4.5,85895.0,7.4,372970.0,-0.08464037781240974,0
IL-503,champaign county,2013,2.7993819659039616,7.2,125.99,230.59,2013,0.09,0.0,0.0,147300.0,780155.0,22795.0,0,0,0,0,1,10.444272000078088,8.345656598193239,2.098615401884849,149000.0,642.0,886.0,0.5407940240697192,68.0,0.0,0.46,7.1,46375.0,21.3,107160.0,-0.05239707604004107,0
IL-503,champaign county,2014,2.7993819659039616,5.8,127.56,233.48,2014,0.1,0.0,0.0,145500.0,780155.0,22795.0,0,0,0,0,1,9.897022685907125,9.317684773,0.5793379133213926,149500.0,658.0,888.0,0.5447181815633846,72.0,0.0,0.45,7.2,45682.0,22.3,106157.0,-0.211456446526871,0
IL-503,champaign county,2015,2.7993819659039616,5.1,130.48,238.82,2015,0.11,0.0,0.0,157800.0,780155.0,22795.0,6,0,0,0,1,7.804233437549375,7.325446110092359,0.4787873274570168,149200.0,672.0,886.0,0.5401209621226901,68.0,0.0,0.45,5.8,46776.0,23.5,106804.0,0.15582022610952673,1
IL-503,champaign county,2016,2.7993819659039616,5.0,132.62,242.74,2016,0.11,0.0,0.0,161500.0,780155.0,22795.0,12,0,0,0,1,9.020290856399848,8.156645987170075,0.8636448692297727,150200.0,682.0,888.0,0.5213383312508677,80.0,0.0,0.45,5.1,50252.0,20.7,107403.0,-0.1529192004717046,0
IL-503,champaign county,2017,2.7993819659039616,4.3,133.73,244.77,2017,0.1,0.36,0.35,169200.0,780155.0,22795.0,8,0,0,0,1,7.640915190616956,6.829067951613904,0.8118472390030517,151400.0,695.0,895.0,0.4940851299060254,87.0,0.0,0.45,5.0,50335.0,19.7,107858.0,0.17173211646092024,1
IL-503,champaign county,2018,2.7993819659039616,4.3,136.84,250.45,2018,0.11,0.39,0.36,167400.0,780155.0,22795.0,8,0,0,0,1,8.953105728,8.524499602348762,0.4286061252577589,154800.0,708.0,913.0,0.4946370194256072,96.0,0.35,0.45,4.3,50281.0,19.8,107070.0,-0.19568237483498885,0
IL-504,madison county,2013,2.7993819659039616,8.9,124.77,390.58,2013,0.01,0.0,0.0,126300.0,780155.0,22795.0,0,0,1,0,0,7.521751333146224,6.473945177285059,1.0478061558611658,124900.0,567.0,865.0,0.4904057991613957,54.0,0.0,0.26,8.9,51688.0,13.0,135081.0,0.1970086542079521,1
IL-504,madison county,2014,2.7993819659039616,7.1,123.26,385.84,2014,0.01,0.0,0.0,128200.0,780155.0,22795.0,0,0,1,0,0,9.003601440576231,8.403361344537815,0.6002400960384154,124600.0,583.0,864.0,0.4694437853777582,57.0,0.0,0.28,8.9,54101.0,13.8,133115.0,-0.2990770409715675,0
IL-504,madison county,2015,2.7993819659039616,6.0,126.25,395.2,2015,0.01,0.0,0.0,130300.0,780155.0,22795.0,14,0,1,0,0,6.310830963641349,5.409283683121157,0.9015472805201928,125100.0,592.0,861.0,0.459361654,57.0,0.0,0.29,7.1,54438.0,13.0,132263.0,0.18652952039074422,1
IL-504,madison county,2016,2.7993819659039616,5.9,128.72,402.93,2016,0.01,0.0,0.0,137700.0,780155.0,22795.0,7,0,1,0,0,7.487987236556428,6.622541475547394,0.8654457610090345,126500.0,599.0,847.0,0.447916332,60.0,0.0,0.29,6.0,52664.0,12.9,133247.0,-0.114474977476408,0
IL-504,madison county,2017,2.7993819659039616,4.8,131.9,412.89,2017,0.01,0.3,0.28,131600.0,780155.0,22795.0,9,0,1,0,0,6.630800066308001,5.839625058,0.791175008,129200.0,605.0,849.0,0.4424875112078903,61.0,0.0,0.29,5.9,56035.0,13.4,135685.0,-0.16742131766464274,0
IL-504,madison county,2018,2.7993819659039616,4.5,135.67,424.71,2018,0.01,0.26,0.29,136600.0,780155.0,22795.0,8,0,1,0,0,5.520662782035915,3.5922120842014515,1.9284506978344635,130200.0,616.0,859.0,0.4505030628114387,62.0,0.28,0.29,4.8,57890.0,15.1,134303.0,-0.3042863033806442,0
IL-506,will county,2013,2.7993819659039616,9.9,106.11,315.07,2013,0.05,0.0,0.0,203000.0,780155.0,22795.0,0,0,1,0,0,4.217747049407685,4.115232364179025,0.102514685,228900.0,809.0,1616.0,0.4958952252821174,67.0,0.0,0.16,9.8,72180.0,8.3,357443.0,0.06886242514919094,1
IL-506,will county,2014,2.7993819659039616,7.7,111.26,330.35,2014,0.05,0.0,0.0,209400.0,780155.0,22795.0,0,0,1,0,0,4.508191339895743,4.289347100094978,0.2188442398007642,219400.0,831.0,1572.0,0.4800020967657388,65.0,0.0,0.17,9.9,74397.0,8.4,359245.0,0.09737133884204718,1
IL-506,will county,2015,2.7993819659039616,6.3,115.01,341.49,2015,0.05,0.0,0.0,213700.0,780155.0,22795.0,6,0,1,0,0,4.947159966417514,4.568847733691469,0.3783122327260452,212700.0,855.0,1520.0,0.4885830079572975,54.0,0.0,0.18,7.7,74828.0,7.9,357335.0,-0.14986184516574963,0
IL-506,will county,2016,2.7993819659039616,6.1,119.05,353.48,2016,0.06,0.0,0.0,224600.0,780155.0,22795.0,4,0,1,0,0,4.205769445520057,3.5096420890201863,0.6961273564998716,209800.0,863.0,1464.0,0.4934484092447539,54.0,0.0,0.18,6.3,75992.0,7.9,356963.0,-0.03198316298329518,0
IL-506,will county,2017,2.7993819659039616,5.1,123.84,367.72,2017,0.06,0.21,0.21,230300.0,780155.0,22795.0,5,0,1,0,0,4.071255635873826,3.623706257462164,0.4475493784116617,210600.0,885.0,1442.0,0.4882444037730536,50.0,0.0,0.19,6.1,81438.0,7.0,362899.0,0.20983293058053842,1
IL-506,will county,2018,2.7993819659039616,4.2,128.76,382.34,2018,0.05,0.2,0.21,242800.0,780155.0,22795.0,3,0,1,0,0,4.925539137091765,4.304430096344123,0.6211090407476418,216400.0,917.0,1448.0,0.4817319432704048,63.0,0.21,0.19,5.1,82196.0,6.8,367608.0,-0.18290128174827824,0
IL-511,cook county,2013,2.706791332557257,9.7,111.06,473.44,2013,0.07,0.0,0.0,209700.0,4132753.0,138114.0,0,0,1,0,0,2.369912416280268,2.0817829679241324,0.2881294483561356,244900.0,833.0,1196.0,0.4988185776304762,76.0,0.0,0.41,9.7,52174.0,17.9,2663370.0,-0.04935329926401333,0
IL-511,cook county,2014,2.666683077766652,7.6,117.6,501.33,2014,0.07,0.0,0.0,213600.0,4143537.0,135819.0,0,0,1,0,0,2.2529494195700868,1.9651360842442973,0.2878133353257894,231200.0,847.0,1191.0,0.4986801556497532,75.0,0.0,0.42,9.7,53827.0,17.7,2677937.0,-0.24161769551141044,0
IL-511,cook county,2015,2.6369634449088872,6.3,122.18,520.87,2015,0.07,0.0,0.0,230900.0,4147384.0,134514.0,24,0,1,0,0,1.7085969727097927,1.4986018140527233,0.2099951586570695,222200.0,856.0,1191.0,0.4955044979363412,72.0,0.0,0.42,7.6,55069.0,17.0,2657984.0,0.07078391915016558,1
