CoC Number,County,Year,HPI,SummerTemperature,Median_House_Values_5_year,Median_House_Values_1_year,Overall Homeless,Unsheltered Homeless,Median_Gross_Rent_5_year,Median_Gross_Rent_1_year,Overall Homeless - Multiple Races,Sheltered Total Homeless,Overall Homeless - Native Hawaiian or Other Pacific Islander,Median_Rent_1_year,Overall Homeless - Age 18 to 24,Median_Rent_5_year,SSDI Participation Rate (Percent),Estimate Total  85 years and over,Overall Homeless - American Indian or Alaska Native,Estimate Total Native Hawaiian and Other Pacific Islander alone,Estimate Total Some other race alone,JanuaryPrecipitation,Estimate Total Two or more races,Estimate Total Asian alone,Overall Homeless - Asian,Total Civilian Noninstitutionalized Population Estimate Population Age 16 and Over,Estimate Total  62 to 64 years,Estimate Total Black or African American alone,Estimate Total  60 and 61 years,CoC_Category_Largely Rural CoC,CoC_Category_Largely Suburban CoC,CoC_Category_Major City CoC,CoC_Category_Other Largely Urban CoC,total_homeless_per_10k,SSDI Participation Rate (Percent)_missing,Total Civilian Noninstitutionalized Population Estimate Population Age 16 and Over_missing
AL-501,mobile county,2010,389.86,82.9,120700,131800.0,883,401,1211.0,785.0,0,482,0,506.0,0,513,2.826930578893613,0.014293077,0,0.0,0.0,3.79,0.01,0.02,0,779747.0,0.030940507,0.35,0.023366894,False,False,False,True,17.402812081138794,1,1
AL-501,mobile county,2011,366.49,83.4,124100,121700.0,718,311,791.0,796.0,0,407,0,553.0,0,531,2.826930578893613,0.017601563,0,0.0,0.01,2.87,0.01,0.02,0,779747.0,0.037532388,0.35,0.025110464,False,False,False,True,15.316377411000737,1,1
AL-501,mobile county,2012,351.78,80.7,125400,125500.0,634,310,811.0,781.0,0,324,0,567.0,0,548,2.826930578893613,0.013231514,0,0.0,0.0,3.08,0.01,0.02,0,779747.0,0.034242008,0.35,0.024655985,False,False,False,True,11.905940653836586,1,1
AL-501,mobile county,2013,347.16,80.0,124300,121200.0,493,233,816.0,786.0,0,260,0,586.0,0,561,2.826930578893613,0.01899396,0,0.0,0.0,2.98,0.02,0.02,0,779747.0,0.036565486,0.35,0.021935428,False,False,False,True,14.40536901111237,1,1
AL-501,mobile county,2014,353.71,80.2,124500,120700.0,598,137,826.0,823.0,0,461,0,611.0,44,576,2.826930578893613,0.019991665,0,0.0,0.01,4.71,0.02,0.02,0,779747.0,0.033927294,0.35,0.024638481,False,False,False,True,13.914466953140986,1,1
AL-501,mobile county,2015,364.36,81.6,122400,120500.0,578,214,816.0,798.0,9,364,1,612.0,36,598,2.826930578893613,0.016495143,2,0.0,0.01,4.99,0.02,0.02,1,779747.0,0.039875299,0.35,0.029858328,False,False,False,True,15.01798301015341,1,1
AL-501,mobile county,2016,371.24,81.9,123500,126800.0,623,236,818.0,807.0,18,387,3,605.0,30,606,2.826930578893613,0.017553925,8,0.0,0.01,12.3,0.02,0.02,0,779747.0,0.04069319,0.36,0.023269437,False,False,False,True,14.639272384679494,1,1
AL-501,mobile county,2017,383.89,80.3,124500,131200.0,606,265,831.0,819.0,9,341,0,633.0,35,623,2.826930578893613,0.016223986,6,0.0,0.01,3.35,0.02,0.02,4,779747.0,0.03877233,0.36,0.028189054,False,False,False,True,13.316995241168124,1,1
AL-501,mobile county,2018,404.33,81.5,126600,131700.0,551,233,840.0,797.0,20,318,0,633.0,30,635,2.826930578893613,0.01685047,4,0.0,0.01,4.42,0.02,0.02,1,779747.0,0.033485838,0.36,0.029493157,False,False,False,True,12.221388640158755,1,1
AZ-501,pima county,2010,477.98,84.9,198300,173200.0,3643,1704,1211.0,901.0,0,1939,0,648.0,0,630,2.826930578893613,0.022086149,0,0.0,0.07,0.01,0.03,0.03,0,779747.0,0.033946815,0.03,0.026746315,False,False,True,False,26.53680541730794,1,1
AZ-501,pima county,2011,427.91,85.5,190500,165700.0,2626,724,906.0,867.0,0,1902,0,648.0,0,654,2.826930578893613,0.020528129,0,0.0,0.07,0.1,0.03,0.03,0,779747.0,0.037253592,0.04,0.025850648,False,False,True,False,23.84133721082554,1,1
AZ-501,pima county,2012,418.28,84.9,177500,153500.0,2366,609,906.0,854.0,0,1757,0,657.0,0,658,3.359172126611377,0.022293565,0,0.0,0.09,0.78,0.04,0.03,0,775191.0,0.036386758,0.04,0.027671469,False,False,True,False,22.45738815959797,0,0
AZ-501,pima county,2013,440.4,84.9,167500,155300.0,2238,501,896.0,836.0,0,1737,0,682.0,0,675,3.357017683606818,0.019353693,0,0.0,0.09,0.0,0.04,0.03,0,784625.0,0.036586076,0.03,0.02325313,False,False,True,False,21.69203875299149,0,0
AZ-501,pima county,2014,469.9,84.4,161700,158400.0,2179,467,889.0,847.0,0,1712,0,687.0,199,686,3.329786290680145,0.020156971,0,0.0,0.09,2.28,0.04,0.03,0,789390.0,0.035711726,0.03,0.026001577,False,False,True,False,18.445087992871464,0,0
AZ-501,pima county,2015,483.59,85.2,159900,165900.0,1863,363,874.0,861.0,119,1500,12,689.0,188,686,3.298090262995778,0.025267691,104,0.0,0.09,1.47,0.04,0.03,7,798644.0,0.03867033,0.04,0.025587485,False,False,True,False,17.368525672944266,0,0
AZ-501,pima county,2016,507.83,85.9,160800,170300.0,1765,381,874.0,870.0,135,1384,12,716.0,167,698,3.265538677040091,0.022053599,124,0.0,0.09,1.27,0.05,0.03,12,803849.0,0.038917306,0.03,0.026993543,False,False,True,False,15.389594326773691,0,0
AZ-501,pima county,2017,545.28,85.6,166300,182300.0,1574,385,894.0,909.0,104,1189,14,748.0,165,719,3.246865778059456,0.02318021,113,0.0,0.08,0.15,0.05,0.03,10,807856.0,0.037267457,0.04,0.024661483,False,False,True,False,13.281068798823568,0,0
AZ-501,pima county,2018,579.26,85.3,173500,198100.0,1380,363,913.0,904.0,72,1017,9,758.0,133,737,3.130206920602937,0.020507703,99,0.0,0.09,1.16,0.06,0.03,6,825824.0,0.03674814,0.04,0.026671851,False,False,True,False,13.10061597721333,0,0
AZ-502,maricopa county,2010,401.1,89.1,238600,180800.0,6999,2729,1211.0,1075.0,0,4270,0,744.0,0,781,2.826930578893613,0.014901351,0,0.0,0.06,0.01,0.03,0.03,0,779747.0,0.028201342,0.05,0.021454152,False,False,True,False,15.02740549305662,1,1
AZ-502,maricopa county,2011,357.85,89.7,219300,161500.0,5831,1749,1150.0,1045.0,0,4082,0,753.0,0,792,2.826930578893613,0.015238475,0,0.0,0.05,0.03,0.03,0.03,0,779747.0,0.02993987,0.05,0.020846627,False,False,True,False,16.45033482836479,1,1
AZ-502,maricopa county,2012,388.95,89.5,193900,161600.0,6485,1749,1127.0,1017.0,0,4736,0,783.0,0,797,2.7292951311644296,0.015620589,0,0.0,0.06,1.5,0.03,0.04,0,3013965.0,0.030471296,0.05,0.020765472,False,False,True,False,14.687939278876804,0,0
AZ-502,maricopa county,2013,452.74,89.8,176500,185000.0,5889,1581,1089.0,994.0,0,4308,0,784.0,0,793,2.6953481814886184,0.017491842,0,0.0,0.06,0.0,0.03,0.04,0,3078452.0,0.031500629,0.05,0.021692707,False,False,True,False,14.479382049921329,0,0
AZ-502,maricopa county,2014,508.19,88.3,175600,206300.0,5918,1053,1063.0,1009.0,0,4865,0,813.0,601,796,2.642657587784824,0.017052054,0,0.0,0.07,1.26,0.03,0.04,0,3146643.0,0.030944969,0.05,0.020857846,False,False,True,False,13.510248570819158,0,0
AZ-502,maricopa county,2015,538.64,89.9,187100,228300.0,5631,1289,1045.0,1050.0,263,4342,38,840.0,437,806,2.555885494,0.017414089,294,0.0,0.07,1.58,0.03,0.04,33,3226866.0,0.031818543,0.05,0.021172774,False,False,True,False,13.43861426251303,0,0
AZ-502,maricopa county,2016,582.54,90.7,204900,239300.0,5702,1646,1053.0,1086.0,193,4056,46,881.0,438,830,2.477107480758116,0.017042435,325,0.0,0.09,1.44,0.04,0.04,34,3287100.0,0.031627173,0.05,0.023408218,False,False,True,False,13.013598920649088,0,0
AZ-502,maricopa county,2017,627.9,90.5,225000,256500.0,5605,2059,1086.0,1125.0,175,3546,28,929.0,363,862,2.386208707,0.017240407,311,0.0,0.07,0.44,0.04,0.04,30,3351970.0,0.031602498,0.05,0.0224484,False,False,True,False,14.278511226020354,0,0
AZ-502,maricopa county,2018,678.12,89.8,242700,276800.0,6298,2618,1126.0,1155.0,227,3680,42,961.0,508,907,2.272586904,0.017489476,387,0.0,0.05,1.11,0.04,0.04,44,3448713.0,0.033084068,0.06,0.023366609,False,False,True,False,14.745573095370906,0,0
CA-500,santa clara county,2010,1316.39,67.4,701000,639400.0,7086,4983,1211.0,1725.0,0,2103,0,1345.0,0,1325,2.826930578893613,0.015525588,0,0.0,0.1,1.85,0.04,0.32,0,779747.0,0.027657418,0.03,0.021136168,False,False,True,False,39.05762090618986,1,1
CA-500,santa clara county,2011,1274.69,67.0,681100,627400.0,7067,5169,1830.0,1748.0,0,1898,0,1389.0,0,1381,2.826930578893613,0.015414689,0,0.0,0.08,3.07,0.04,0.32,0,779747.0,0.026892667,0.03,0.020628636,False,False,True,False,38.38358991327366,1,1
CA-500,santa clara county,2012,1310.47,68.6,656600,634600.0,7053,5169,1858.0,1829.0,0,1884,0,1480.0,0,1427,1.6069446112679833,0.015675612,0,0.0,0.09,0.98,0.04,0.33,0,1440311.0,0.027861164,0.03,0.020975737,False,False,True,False,40.98191178389735,0,0
CA-500,santa clara county,2013,1463.15,69.5,645600,682300.0,7631,5674,1868.0,1858.0,0,1957,0,1577.0,0,1473,1.577672060265363,0.017595209,0,0.0,0.11,0.2,0.05,0.33,0,1462598.0,0.027764158,0.03,0.02053929,False,False,True,False,39.93972358,0,0
CA-500,santa clara county,2014,1666.1,70.3,664100,746500.0,7567,5674,1902.0,1956.0,0,1893,0,1717.0,1037,1541,1.505081742200712,0.015397405,0,0.0,0.1,0.01,0.05,0.34,0,1494271.0,0.02915489,0.03,0.022460618,False,False,True,False,34.18065487548773,0,0
CA-500,santa clara county,2015,1802.43,70.9,698600,836800.0,6556,4627,1938.0,2072.0,1784,1929,84,1834.0,897,1616,1.4354331324932734,0.017650794,451,0.0,0.12,7.73,0.05,0.35,176,1520447.0,0.02831374,0.02,0.023772135,False,False,True,False,33.98975305850468,0,0
CA-500,santa clara county,2016,1977.29,70.3,752400,925700.0,6524,4627,2026.0,2228.0,1719,1897,98,1986.0,903,1727,1.3685805143264662,0.018016549,461,0.0,0.12,12.68,0.05,0.36,182,1524207.0,0.029174191,0.02,0.024109071,False,False,True,False,38.14972295788826,0,0
CA-500,santa clara county,2017,2056.92,71.3,829600,971300.0,7394,5448,2152.0,2356.0,1457,1946,224,2131.0,2091,1859,1.2909656966431011,0.017652373,973,0.0,0.11,4.74,0.05,0.36,225,1546904.0,0.030629677,0.03,0.023673054,False,False,True,False,37.438647377901184,0,0
CA-500,santa clara county,2018,2299.86,70.6,913000,1110600.0,7254,5448,2288.0,2423.0,1465,1806,206,2225.0,2077,2017,1.2292015993808847,0.019362913,945,0.0,0.1,5.45,0.05,0.37,245,1550600.0,0.032695077,0.03,0.02321929,False,False,True,False,50.34618840035438,0,0
CA-502,alameda county,2010,1118.21,67.5,590900,497200.0,4341,1963,1211.0,1495.0,0,2378,0,1126.0,0,1108,2.826930578893613,0.017476115,0,0.01,0.09,1.04,0.06,0.26,0,779747.0,0.030225529,0.12,0.024894448,False,False,True,False,27.309420704305907,1,1
CA-502,alameda county,2011,1059.68,67.4,558300,480700.0,4178,2212,1555.0,1538.0,0,1966,0,1173.0,0,1153,2.826930578893613,0.018309993,0,0.01,0.08,2.08,0.05,0.27,0,779747.0,0.030942397,0.12,0.023880382,False,False,True,False,27.38113615313368,1,1
CA-502,alameda county,2012,1068.46,68.7,514900,472900.0,4257,2212,1565.0,1501.0,0,2045,0,1182.0,0,1189,2.257374642589081,0.016188767,0,0.01,0.08,0.81,0.06,0.27,0,1237721.0,0.03134841,0.12,0.022908948,False,False,True,False,27.006297458152588,0,0
CA-502,alameda county,2013,1215.23,69.7,493800,518900.0,4264,2337,1566.0,1549.0,0,1927,0,1236.0,0,1200,2.217916324101992,0.017136078,0,0.01,0.08,0.11,0.07,0.27,0,1261319.0,0.033747738,0.12,0.022351131,False,False,True,False,26.51899130994009,0,0
CA-502,alameda county,2014,1408.85,70.6,509300,587600.0,4272,2337,1590.0,1605.0,0,1935,0,1312.0,492,1233,2.1394617862009166,0.017540897,0,0.01,0.09,0.01,0.06,0.28,0,1291680.0,0.033485193,0.11,0.022958295,False,False,True,False,24.66098772139188,0,0
CA-502,alameda county,2015,1539.67,70.9,543100,656700.0,4040,2397,1614.0,1719.0,365,1643,43,1435.0,414,1272,2.016341502,0.016981288,104,0.01,0.1,5.65,0.06,0.29,106,1318973.0,0.030923902,0.11,0.024075594,False,False,True,False,25.1562173788496,0,0
CA-502,alameda county,2016,1715.62,69.8,593500,713600.0,4145,2397,1673.0,1838.0,372,1748,30,1535.0,399,1344,1.9234112758339608,0.017668222,121,0.01,0.1,9.38,0.06,0.29,107,1328629.0,0.032507052,0.11,0.024230687,False,False,True,False,33.844599835256346,0,0
CA-502,alameda county,2017,1836.54,71.2,649100,781000.0,5629,3863,1779.0,1960.0,832,1766,42,1660.0,1005,1447,1.814228362560505,0.017317324,168,0.01,0.11,4.28,0.07,0.3,130,1346578.0,0.035193814,0.11,0.023708055,False,False,True,False,32.97429193167794,0,0
CA-502,alameda county,2018,2000.68,69.9,707800,842000.0,5496,3863,1904.0,2087.0,805,1633,41,1791.0,930,1566,1.7107409538148006,0.016537543,182,0.01,0.12,3.73,0.07,0.31,116,1352338.0,0.033748252,0.1,0.023764169,False,False,True,False,47.99773114688969,0,0
CA-503,sacramento county,2010,611.77,73.8,324200,240200.0,2734,1194,1211.0,1205.0,0,1540,0,865.0,0,871,2.826930578893613,0.016211438,0,0.01,0.07,1.54,0.06,0.14,0,779747.0,0.029976954,0.1,0.021841699,False,False,True,False,16.544751254260657,1,1
CA-503,sacramento county,2011,552.02,73.2,285000,217000.0,2376,955,1264.0,1191.0,0,1421,0,872.0,0,886,2.826930578893613,0.017420732,0,0.01,0.07,2.6,0.06,0.14,0,779747.0,0.02791509,0.1,0.021785315,False,False,True,False,19.39148526226432,1,1
CA-503,sacramento county,2012,555.15,75.2,249800,213500.0,2812,955,1253.0,1189.0,0,1857,0,869.0,0,895,3.5870538134230268,0.018266062,0,0.01,0.07,1.1,0.06,0.15,0,1116097.0,0.03134635,0.1,0.022517431,False,False,True,False,17.358225767732165,0,0
CA-503,sacramento county,2013,651.35,76.0,234200,238000.0,2538,786,1232.0,1159.0,0,1752,0,890.0,0,899,3.638699957905931,0.016793297,0,0.01,0.07,0.22,0.07,0.15,0,1128425.0,0.029537709,0.1,0.022482254,False,False,True,False,16.524676355205646,0,0
CA-503,sacramento county,2014,750.89,76.8,236500,273800.0,2449,786,1217.0,1159.0,0,1663,0,900.0,206,906,3.613836054389042,0.0165962,0,0.01,0.08,0.02,0.06,0.15,0,1143245.0,0.033052726,0.1,0.023171658,False,False,True,False,17.71090396214036,0,0
CA-503,sacramento county,2015,797.52,77.3,248400,301200.0,2659,948,1206.0,1211.0,141,1711,34,943.0,303,911,3.516939525,0.017985992,56,0.01,0.06,5.86,0.07,0.16,22,1166355.0,0.031292816,0.1,0.023676928,False,False,True,False,16.507534038535187,0,0
CA-503,sacramento county,2016,872.75,76.6,271300,326800.0,2500,948,1215.0,1237.0,149,1552,36,980.0,298,936,3.415153391404653,0.018445519,37,0.01,0.08,10.18,0.07,0.15,22,1179010.0,0.033556515,0.1,0.02475998,False,False,True,False,23.944623566344248,0,0
CA-503,sacramento county,2017,957.28,78.4,299900,353400.0,3665,2052,1251.0,1326.0,490,1613,31,1077.0,242,981,3.275450683730936,0.017272796,179,0.01,0.09,4.47,0.08,0.15,24,1192355.0,0.035652336,0.1,0.024535889,False,False,True,False,23.4981099628482,0,0
CA-503,sacramento county,2018,1022.54,76.5,330100,376800.0,3621,2052,1318.0,1403.0,479,1569,34,1152.0,270,1043,3.118961405,0.017849738,168,0.01,0.08,4.53,0.08,0.16,26,1202163.0,0.035724785,0.1,0.024712925,False,False,True,False,35.82984656501239,0,0
CA-504,sonoma county,2010,931.84,64.0,524400,414000.0,3345,2222,1211.0,1421.0,0,1123,0,1121.0,0,1102,2.826930578893613,0.023167464,0,0.0,0.06,2.4,0.03,0.04,0,779747.0,0.042624505,0.02,0.02717472,False,False,False,True,93.03116472313958,1,1
CA-504,sonoma county,2011,861.86,63.8,477300,398900.0,4541,3366,1490.0,1423.0,0,1175,0,1108.0,0,1133,2.826930578893613,0.022543822,0,0.0,0.08,8.08,0.04,0.04,0,779747.0,0.041949045,0.02,0.029531915,False,False,False,True,91.14956621,1,1
CA-504,sonoma county,2012,858.54,64.8,430900,380100.0,4483,3366,1487.0,1416.0,0,1117,0,1145.0,0,1149,2.826930578893613,0.024480053,0,0.0,0.12,1.22,0.04,0.04,0,779747.0,0.038753307,0.02,0.032277479,False,False,False,True,86.46027978384929,1,1
CA-504,sonoma county,2013,978.04,65.6,407400,406900.0,4280,3309,1478.0,1422.0,0,971,0,1172.0,0,1161,2.826930578893613,0.021033281,0,0.0,0.12,0.25,0.04,0.04,0,779747.0,0.039218221,0.01,0.029188425,False,False,False,True,85.27020220191409,1,1
CA-504,sonoma county,2014,1142.08,66.6,414500,469400.0,4266,3309,1486.0,1487.0,0,957,0,1250.0,873,1193,2.826930578893613,0.026142733,0,0.0,0.12,0.19,0.05,0.04,0,779747.0,0.042403237,0.01,0.031313713,False,False,False,True,61.67528965679304,1,1
CA-504,sonoma county,2015,1225.75,67.4,436400,512100.0,3097,2060,1475.0,1474.0,513,1037,68,1270.0,647,1209,2.826930578893613,0.018456783,227,0.0,0.11,12.73,0.06,0.04,42,779747.0,0.043104993,0.02,0.031560542,False,False,False,True,57.76532092949292,1,1
CA-504,sonoma county,2016,1335.9,65.9,464700,565200.0,2906,1906,1504.0,1594.0,582,1000,36,1420.0,582,1261,2.826930578893613,0.024217306,232,0.0,0.14,19.58,0.05,0.04,17,779747.0,0.047937663,0.02,0.030910211,False,False,False,True,56.22579167302967,1,1
CA-504,sonoma county,2017,1438.44,67.6,513300,628400.0,2835,1847,1577.0,1717.0,396,988,28,1453.0,431,1327,2.826930578893613,0.021748573,173,0.0,0.15,7.92,0.06,0.04,29,779747.0,0.04596632,0.02,0.030891461,False,False,False,True,59.92695152637705,1,1
CA-504,sonoma county,2018,1562.11,66.7,568700,655200.0,2996,1929,1651.0,1736.0,627,1067,35,1528.0,490,1412,2.826930578893613,0.02396278,206,0.0,0.14,9.67,0.05,0.04,45,779747.0,0.041400802,0.02,0.031317633,False,False,False,True,59.696239,1,1
CA-505,contra costa county,2010,818.67,68.8,548200,416000.0,2759,1872,1211.0,1713.0,0,887,0,1198.0,0,1182,2.826930578893613,0.018007707,0,0.0,0.06,1.28,0.05,0.15,0,779747.0,0.036419089,0.09,0.022443383,False,True,False,False,22.652744218156712,1,1
CA-505,contra costa county,2011,764.47,68.9,490200,391400.0,2415,1490,1804.0,1655.0,0,925,0,1181.0,0,1210,2.826930578893613,0.020089185,0,0.0,0.06,2.75,0.05,0.14,0,779747.0,0.033344089,0.09,0.02648542,False,True,False,False,22.100839479917045,1,1
CA-505,contra costa county,2012,773.85,70.4,433800,381300.0,2386,1490,1780.0,1676.0,0,896,0,1230.0,0,1234,2.5186903993796506,0.018127134,0,0.0,0.07,0.79,0.06,0.15,0,844685.0,0.033976567,0.09,0.024782396,False,True,False,False,18.27811059170813,0,0
CA-505,contra costa county,2013,877.4,71.1,404000,424100.0,2000,1329,1741.0,1619.0,0,671,0,1283.0,0,1250,2.530312491262733,0.019468016,0,0.0,0.08,0.14,0.06,0.15,0,858392.0,0.034912105,0.09,0.022931718,False,True,False,False,18.07729234733956,0,0
CA-505,contra costa county,2014,1023.42,71.6,417400,474000.0,2009,1329,1719.0,1631.0,0,680,0,1344.0,141,1289,2.476856957082668,0.019017599,0,0.01,0.09,0.01,0.07,0.16,0,875101.0,0.035695679,0.08,0.024633348,False,True,False,False,18.02537397547804,0,0
CA-505,contra costa county,2015,1094.83,71.9,439900,522500.0,2031,1327,1700.0,1737.0,121,704,24,1427.0,173,1315,2.3776552074243043,0.020911564,148,0.01,0.11,6.44,0.06,0.16,37,890373.0,0.034944908,0.09,0.02354215,False,True,False,False,15.240585414671662,0,0
CA-505,contra costa county,2016,1207.36,71.4,472900,577000.0,1730,1110,1736.0,1845.0,219,620,28,1590.0,120,1393,2.3130069089816763,0.019586355,113,0.0,0.09,10.68,0.07,0.16,28,898830.0,0.036373023,0.09,0.025402444,False,True,False,False,14.005101796261066,0,0
CA-505,contra costa county,2017,1297.55,73.2,522300,642300.0,1607,911,1811.0,1969.0,55,696,22,1650.0,78,1480,2.2114858945732148,0.018929982,166,0.01,0.09,4.02,0.07,0.17,27,910926.0,0.033845808,0.08,0.027291211,False,True,False,False,19.42245580174141,0,0
CA-505,contra costa county,2018,1388.48,71.8,582400,670000.0,2234,1537,1905.0,2033.0,75,697,32,1721.0,148,1571,2.132250825572173,0.017557587,231,0.0,0.12,4.66,0.07,0.17,44,916637.0,0.036200189,0.09,0.026948875,False,True,False,False,19.895520343711368,0,0
CA-507,marin county,2010,1136.18,59.9,868000,775200.0,1026,429,1211.0,1965.0,0,597,0,1428.0,0,1446,2.826930578893613,0.02097139,0,0.0,0.08,2.18,0.04,0.06,0,779747.0,0.042745417,0.03,0.029808316,False,True,False,False,33.79981257,1,1
CA-507,marin county,2011,1082.97,59.5,840900,730500.0,862,353,1968.0,1786.0,0,509,0,1391.0,0,1475,2.826930578893613,0.026820269,0,0.0,0.09,6.35,0.04,0.06,0,779747.0,0.047754979,0.03,0.034913403,False,True,False,False,28.31268134760553,1,1
CA-507,marin county,2012,1103.7,60.5,810700,752900.0,725,229,1965.0,1857.0,0,496,0,1500.0,0,1491,2.826930578893613,0.024325475,0,0.0,0.07,0.9,0.04,0.06,0,779747.0,0.046811602,0.02,0.03303016,False,True,False,False,26.164534669943684,1,1
CA-507,marin county,2013,1192.7,61.8,781900,784200.0,676,171,1985.0,2044.0,0,505,0,1527.0,0,1520,2.826930578893613,0.026760591,0,0.0,0.08,0.1,0.04,0.06,0,779747.0,0.042737987,0.02,0.03436611,False,True,False,False,26.04026845637584,1,1
CA-507,marin county,2014,1348.02,62.8,785100,862800.0,679,178,2005.0,2063.0,0,501,0,1699.0,39,1561,2.826930578893613,0.028,0,0.0,0.08,0.05,0.04,0.06,0,779747.0,0.041342282,0.02,0.033629914,False,True,False,False,50.45536155209573,1,1
CA-507,marin county,2015,1437.63,63.8,815100,906500.0,1318,835,2000.0,2104.0,173,483,9,1717.0,377,1587,2.826930578893613,0.022191937,65,0.0,0.09,10.73,0.05,0.06,20,779747.0,0.046497027,0.03,0.032160508,False,True,False,False,48.26377032890724,1,1
CA-507,marin county,2016,1567.32,61.5,859400,974600.0,1258,835,2106.0,2282.0,118,423,6,1831.0,362,1686,2.826930578893613,0.029004301,43,0.0,0.1,17.01,0.05,0.05,15,779747.0,0.043909289,0.02,0.030262688,False,True,False,False,42.80431492019697,1,1
CA-507,marin county,2017,1604.06,63.1,908800,1014000.0,1117,708,2230.0,2342.0,172,409,5,1966.0,121,1781,2.826930578893613,0.027430017,29,0.0,0.1,6.77,0.05,0.06,19,779747.0,0.039819126,0.02,0.032147305,False,True,False,False,42.16955627613935,1,1
CA-507,marin county,2018,1693.73,61.9,959200,1071200.0,1095,708,2344.0,2491.0,176,387,5,2072.0,128,1881,2.826930578893613,0.024439087,25,0.0,0.06,7.95,0.05,0.06,9,779747.0,0.04683324,0.02,0.031159258,False,True,False,False,39.94961866273095,1,1
CA-510,stanislaus county,2010,487.44,73.6,285200,176800.0,1800,999,1211.0,1166.0,0,801,0,813.0,0,796,2.826930578893613,0.01552319,0,0.01,0.08,1.31,0.05,0.05,0,779747.0,0.023977507,0.03,0.019881325,False,True,False,False,27.655528598593698,1,1
CA-510,stanislaus county,2011,447.14,73.4,232000,161900.0,1434,791,1171.0,1073.0,0,643,0,802.0,0,811,2.826930578893613,0.016543175,0,0.01,0.08,1.42,0.04,0.05,0,779747.0,0.028426952,0.03,0.019414798,False,True,False,False,28.17570908867873,1,1
CA-510,stanislaus county,2012,453.73,75.1,192200,159800.0,1470,791,1165.0,1104.0,0,679,0,806.0,0,824,2.826930578893613,0.016148323,0,0.01,0.1,1.07,0.04,0.05,0,779747.0,0.030836109,0.03,0.019882084,False,True,False,False,22.85481578181168,1,1
CA-510,stanislaus county,2013,536.83,76.1,172900,175000.0,1201,645,1137.0,1039.0,0,556,0,797.0,0,825,2.826930578893613,0.014533075,0,0.0,0.14,0.41,0.05,0.06,0,779747.0,0.02805186,0.03,0.020175417,False,True,False,False,21.72944584273972,1,1
CA-510,stanislaus county,2014,661.38,76.5,175400,216000.0,1156,443,1126.0,1064.0,0,713,0,803.0,125,826,3.642828072996382,0.015913624,0,0.01,0.1,0.02,0.04,0.06,0,400513.0,0.027686246,0.02,0.020842223,False,True,False,False,26.152143064109897,0,0
CA-510,stanislaus county,2015,710.45,76.4,190800,243500.0,1408,683,1103.0,1107.0,3,725,25,863.0,95,825,3.575989468026882,0.016777863,73,0.01,0.1,5.05,0.04,0.06,16,405622.0,0.026495761,0.03,0.023496066,False,True,False,False,26.479060491912254,0,0
CA-510,stanislaus county,2016,776.58,76.8,216000,274300.0,1434,730,1113.0,1141.0,154,704,26,867.0,127,838,3.4995067315196104,0.014615186,94,0.01,0.13,6.98,0.04,0.06,29,407486.0,0.030343822,0.03,0.022449959,False,True,False,False,30.315806380373026,0,0
CA-510,stanislaus county,2017,840.02,78.3,244100,288200.0,1661,821,1140.0,1198.0,57,840,18,944.0,127,864,3.335569153431338,0.014192397,71,0.01,0.08,2.89,0.04,0.05,24,412973.0,0.027837247,0.03,0.022217598,False,True,False,False,24.662841137473517,0,0
CA-510,stanislaus county,2018,910.31,76.8,272400,318900.0,1356,606,1187.0,1213.0,56,750,16,983.0,97,910,3.2245421078069505,0.015563417,77,0.01,0.07,2.89,0.04,0.05,13,415873.0,0.031552431,0.03,0.020410502,False,True,False,False,34.921730287291616,0,0
CA-511,san joaquin county,2010,460.78,73.4,318600,213400.0,3005,165,1211.0,1244.0,0,2840,0,848.0,0,831,2.826930578893613,0.015187337,0,0.0,0.09,1.02,0.06,0.14,0,779747.0,0.024558557,0.07,0.01729568,False,True,False,False,36.48303538854433,1,1
CA-511,san joaquin county,2011,429.16,73.0,264600,196800.0,2540,247,1285.0,1175.0,0,2293,0,834.0,0,846,2.826930578893613,0.015353038,0,0.01,0.1,1.69,0.06,0.14,0,779747.0,0.024447943,0.08,0.018267372,False,True,False,False,22.33095933459719,1,1
CA-511,san joaquin county,2012,432.58,74.4,225400,190600.0,1569,247,1264.0,1158.0,0,1322,0,845.0,0,862,3.346241838,0.013815591,0,0.01,0.13,1.2,0.08,0.14,0,514906.0,0.02917542,0.07,0.020531958,False,True,False,False,21.87742678302448,0,0
CA-511,san joaquin county,2013,518.08,75.3,208000,208900.0,1541,263,1234.0,1127.0,0,1278,0,849.0,0,872,3.3293123320720555,0.016479764,0,0.01,0.14,0.21,0.08,0.14,0,521429.0,0.025321595,0.07,0.021742556,False,True,False,False,22.19126128253752,0,0
CA-511,san joaquin county,2014,625.93,75.8,211300,250800.0,1588,263,1211.0,1146.0,0,1325,0,864.0,98,868,3.296998931414897,0.014288769,0,0.01,0.13,0.01,0.08,0.15,0,531544.0,0.028338576,0.07,0.020817583,False,True,False,False,23.52273634978915,0,0
CA-511,san joaquin county,2015,669.11,76.4,223000,278400.0,1708,535,1190.0,1190.0,93,1173,31,880.0,69,864,3.200099176245069,0.016923149,32,0.0,0.09,4.86,0.1,0.15,36,540452.0,0.027110367,0.07,0.024755339,False,True,False,False,24.260299382997893,0,0
