CoC Number,County,SSDI Participation Rate (Percent),Unemployment Rate,HPI with 2000 base,HPI,Year,Estimate Total Asian alone,Share_of_Single_Person_Households_1_year,Share_of_Single_Person_Households_5_year,Median_House_Values_1_year,Total Civilian Noninstitutionalized Population Estimate Population Age 16 and Over,Blind and disabled,Overall Homeless - Multiple Races,pct_change_total_homeless_per_10k,target_class
NC-511,cumberland county,2.631751953517868,7.8,122.87,224.14,2014,0.03,0.0,0.0,124100.0,1073690.0,31342.0,0,-0.08490108022646103,0
NC-511,cumberland county,2.631751953517868,7.2,122.9,224.2,2015,0.02,0.0,0.0,128600.0,1073690.0,31342.0,13,-0.14026629435723448,0
NC-511,cumberland county,2.631751953517868,6.4,123.33,224.98,2016,0.02,0.0,0.0,134300.0,1073690.0,31342.0,8,-0.155733216614926,0
NC-511,cumberland county,2.631751953517868,5.7,122.38,223.23,2017,0.03,0.34,0.32,136500.0,1073690.0,31342.0,24,-0.15782401862184336,0
NC-511,cumberland county,2.631751953517868,5.2,125.76,229.41,2018,0.03,0.33,0.32,138700.0,1073690.0,31342.0,33,-0.12397130702100934,0
NC-513,orange county,2.631751953517868,5.2,132.57,567.4,2011,0.07,0.01,0.01,262600.0,1073690.0,31342.0,0,-0.20399418421430826,0
NC-513,orange county,2.631751953517868,6.3,131.81,564.15,2012,0.07,0.01,0.01,271400.0,1073690.0,31342.0,0,0.0989734252580523,1
NC-513,orange county,2.631751953517868,5.2,132.86,568.63,2013,0.07,0.01,0.01,270700.0,1073690.0,31342.0,0,-0.12237642473865351,0
NC-513,orange county,2.631751953517868,4.5,135.97,581.94,2014,0.08,0.01,0.01,281400.0,1073690.0,31342.0,0,0.1865521236754053,1
NC-513,orange county,2.631751953517868,4.6,140.12,599.71,2015,0.08,0.01,0.01,278200.0,1073690.0,31342.0,11,-0.38177808017215353,0
NC-513,orange county,2.631751953517868,4.2,144.31,617.66,2016,0.08,0.01,0.01,304000.0,1073690.0,31342.0,1,0.5530000828767547,1
NC-513,orange county,2.631751953517868,3.8,151.72,649.36,2017,0.08,0.27,0.28,279700.0,1073690.0,31342.0,9,0.1879904207122951,1
NC-513,orange county,2.631751953517868,3.3,159.36,682.05,2018,0.08,0.28,0.28,327300.0,1073690.0,31342.0,12,-0.15237333235497208,0
NV-500,clark county,2.631751953517868,5.2,85.27,295.12,2011,0.09,0.0,0.0,153800.0,1073690.0,31342.0,0,-0.09904696444017225,0
NV-500,clark county,2.680462650577405,11.7,85.81,297.01,2012,0.09,0.0,0.0,145200.0,1541898.0,26195.0,0,-0.19808380281715743,0
NV-500,clark county,2.720715199385606,10.0,101.17,350.18,2013,0.09,0.0,0.0,162300.0,1572932.0,27909.0,0,0.22524056165520023,1
NV-500,clark county,2.7305325672474035,8.2,122.05,422.42,2014,0.09,0.0,0.0,188700.0,1609393.0,29230.0,0,-0.012657137425375109,0
NV-500,clark county,2.7359116048959566,6.9,132.4,458.28,2015,0.1,0.0,0.0,217300.0,1645521.0,30832.0,351,-0.1889305526206272,0
NV-500,clark county,2.7146573072002007,5.9,142.99,494.92,2016,0.1,0.0,0.0,233700.0,1682717.0,32084.0,335,0.02246135133246363,1
NV-500,clark county,2.6713618050146914,5.2,158.04,546.99,2017,0.1,0.27,0.28,250000.0,1721781.0,32235.0,351,-0.07429037988079246,0
NV-500,clark county,2.620846319250912,4.6,182.02,630.01,2018,0.1,0.29,0.28,286600.0,1746764.0,32490.0,295,-0.1049734968886693,0
NV-501,washoe county,2.631751953517868,5.2,99.05,397.21,2011,0.05,0.0,0.0,177400.0,1073690.0,31342.0,0,0.012369787462050974,1
NV-501,washoe county,2.631751953517868,11.5,96.63,387.49,2012,0.05,0.0,0.0,176500.0,1073690.0,31342.0,0,-0.14910863905377192,0
NV-501,washoe county,2.631751953517868,9.8,112.54,451.3,2013,0.05,0.0,0.0,201700.0,1073690.0,31342.0,0,0.015963996121721058,1
NV-501,washoe county,2.631751953517868,7.8,134.03,537.48,2014,0.05,0.0,0.0,233300.0,1073690.0,31342.0,0,0.16144148798641234,1
NV-501,washoe county,2.631751953517868,6.3,150.96,605.36,2015,0.05,0.0,0.0,268400.0,1073690.0,31342.0,58,0.07427114306222005,1
NV-501,washoe county,2.631751953517868,5.1,169.07,677.98,2016,0.06,0.0,0.0,299100.0,1073690.0,31342.0,49,0.10137578581170592,1
NV-501,washoe county,2.631751953517868,4.1,185.14,742.41,2017,0.05,0.3,0.29,331200.0,1073690.0,31342.0,62,0.06584469499502554,1
NV-501,washoe county,2.631751953517868,3.5,205.2,822.85,2018,0.05,0.31,0.29,363000.0,1073690.0,31342.0,15,0.04076592044067895,1
OH-503,franklin county,2.631751953517868,5.2,108.66,375.84,2011,0.04,0.0,0.0,150400.0,1073690.0,31342.0,0,-0.0028748788012692428,0
OH-503,franklin county,3.188006944705737,6.4,107.27,371.04,2012,0.04,0.0,0.0,147500.0,930205.0,29007.0,0,0.023340002752968436,1
OH-503,franklin county,3.210556249748928,6.4,109.8,379.8,2013,0.04,0.0,0.0,146300.0,945942.0,29984.0,0,0.06782668280504711,1
OH-503,franklin county,3.184693486,4.9,115.92,400.95,2014,0.04,0.0,0.0,153000.0,960689.0,30419.0,0,0.04897740852375243,1
OH-503,franklin county,3.129433023,4.1,121.91,421.67,2015,0.05,0.0,0.0,158400.0,978452.0,30416.0,73,-0.008393737803037538,0
OH-503,franklin county,3.039547496849188,4.1,129.87,449.23,2016,0.05,0.0,0.0,162300.0,988634.0,30377.0,126,-0.039991153821048786,0
OH-503,franklin county,2.9125465291042203,4.1,139.13,481.25,2017,0.05,0.32,0.32,172600.0,1012001.0,30445.0,125,0.05365863551275263,1
OH-503,franklin county,2.781486749999757,3.8,149.67,517.71,2018,0.06,0.32,0.32,186500.0,1031283.0,30230.0,90,0.05016605322261669,1
OK-501,tulsa county,2.631751953517868,5.2,121.82,350.01,2011,0.02,0.0,0.0,133300.0,1073690.0,31342.0,0,0.15545956207218636,1
OK-501,tulsa county,3.635284675023054,5.0,122.16,351.01,2012,0.03,0.0,0.0,135400.0,468464.0,13077.0,0,-0.026362862458514047,0
OK-501,tulsa county,3.689726581799451,4.9,123.44,354.67,2013,0.03,0.0,0.0,136100.0,475645.0,13518.0,0,-0.009456925701696317,0
OK-501,tulsa county,3.6740362552106975,4.1,127.23,365.57,2014,0.03,0.0,0.0,140000.0,480262.0,13830.0,0,-0.06774535347728217,0
OK-501,tulsa county,3.624114156529844,4.0,132.22,379.89,2015,0.03,0.0,0.0,147900.0,489223.0,14145.0,48,0.08472905193753677,1
OK-501,tulsa county,3.564322596,4.5,135.99,390.72,2016,0.03,0.0,0.0,150100.0,491538.0,14160.0,41,0.024422504547763957,1
OK-501,tulsa county,3.510841023939668,4.0,141.6,406.85,2017,0.04,0.3,0.3,155600.0,494326.0,14260.0,84,0.0051231366393800215,1
OK-501,tulsa county,3.4703275417355464,3.2,146.65,421.35,2018,0.03,0.3,0.3,160800.0,496639.0,14121.0,102,0.09157885757642403,1
OR-501,multnomah county,2.631751953517868,5.2,141.75,801.46,2011,0.07,0.0,0.0,257400.0,1073690.0,31342.0,0,-0.030996344222644745,0
OR-501,multnomah county,2.970839568178539,7.6,142.17,803.81,2012,0.07,0.0,0.0,255600.0,616829.0,16410.0,0,-0.004945739920497627,0
OR-501,multnomah county,2.973948436568884,6.7,153.39,867.26,2013,0.07,0.0,0.0,274700.0,622573.0,16859.0,0,-0.12778125448189515,0
OR-501,multnomah county,2.917650559315274,5.8,170.26,962.65,2014,0.07,0.0,0.0,290400.0,631844.0,17551.0,0,-0.048720147997721286,0
OR-501,multnomah county,2.8470516493398152,4.8,186.75,1055.91,2015,0.07,0.0,0.0,321700.0,646107.0,17579.0,256,0.017533459897188353,1
OR-501,multnomah county,2.7222857142857144,4.2,212.63,1202.22,2016,0.07,0.0,0.0,367700.0,656250.0,17723.0,380,0.056901418526693615,1
OR-501,multnomah county,2.599451385672263,3.6,228.19,1290.19,2017,0.07,0.32,0.32,393900.0,664948.0,17911.0,374,-0.04295182749952997,0
OR-501,multnomah county,2.473288188854073,3.6,236.62,1337.89,2018,0.08,0.33,0.32,422900.0,669554.0,17763.0,361,-0.0021935545717785,0
TN-501,shelby county,2.631751953517868,5.2,101.86,304.7,2011,0.02,0.0,0.0,131700.0,1073690.0,31342.0,0,0.06255132532223606,1
TN-501,shelby county,3.8058559156770513,8.8,100.2,299.75,2012,0.02,0.0,0.0,129400.0,715345.0,31361.0,0,-0.12403131668008438,0
TN-501,shelby county,3.872934691579676,8.8,101.27,302.94,2013,0.02,0.0,0.0,123000.0,714058.0,31622.0,0,-0.07699276887790207,0
TN-501,shelby county,3.9153554778554778,7.6,105.49,315.57,2014,0.02,0.0,0.0,130700.0,713856.0,32293.0,0,-0.08883985127721006,0
TN-501,shelby county,3.8820744686804014,6.4,109.47,327.47,2015,0.03,0.0,0.0,135800.0,714824.0,31952.0,7,0.09848493819142945,1
TN-501,shelby county,3.853806167771224,5.4,114.01,341.05,2016,0.02,0.0,0.0,141200.0,713710.0,31651.0,7,-0.1477463981338406,0
TN-501,shelby county,3.786207089187453,4.4,121.17,362.47,2017,0.03,0.33,0.31,148600.0,716020.0,31708.0,41,-0.13915269228555394,0
TN-501,shelby county,3.6812352357340825,4.1,128.92,385.66,2018,0.03,0.34,0.32,157700.0,718373.0,31200.0,40,0.07913360560770744,1
TX-500,bexar county,2.631751953517868,5.2,143.19,385.29,2011,0.02,0.0,0.0,122300.0,1073690.0,31342.0,0,0.1201944242627766,1
TX-500,bexar county,3.663991383243701,6.3,144.27,388.21,2012,0.03,0.0,0.0,123000.0,1336930.0,48628.0,0,-0.2022644102496668,0
TX-500,bexar county,3.667278736687477,5.9,147.71,397.46,2013,0.03,0.0,0.0,126500.0,1361500.0,49124.0,0,-0.049535036075743055,0
TX-500,bexar county,3.573567449335265,4.7,156.55,421.25,2014,0.03,0.0,0.0,133500.0,1392586.0,49147.0,0,-0.022410041805435155,0
TX-500,bexar county,3.485854806843499,3.8,167.51,450.74,2015,0.03,0.0,0.0,142100.0,1427340.0,49193.0,84,-0.05347430768259431,0
TX-500,bexar county,3.3875184800339886,3.8,179.84,483.9,2016,0.03,0.0,0.0,150200.0,1452243.0,47866.0,75,-0.028720720861998505,0
TX-500,bexar county,3.295501596416893,3.6,192.65,518.38,2017,0.03,0.27,0.27,160100.0,1480503.0,46862.0,23,0.10229352313339501,1
TX-500,bexar county,3.185311280174713,3.4,203.39,547.28,2018,0.03,0.3,0.27,169700.0,1507388.0,45796.0,27,-0.07145877053709748,0
TX-600,dallas county,2.631751953517868,5.2,122.36,393.52,2011,0.05,0.0,0.0,125000.0,1073690.0,31342.0,0,-0.04128241058506521,0
TX-600,dallas county,2.748821484795282,7.1,122.89,395.24,2012,0.05,0.0,0.0,128900.0,1830057.0,54581.0,0,-0.09218983821354243,0
TX-600,dallas county,2.7416939551791235,6.6,129.38,416.12,2013,0.06,0.0,0.0,127200.0,1855787.0,56531.0,0,0.0940733893287049,1
TX-600,dallas county,2.684697567615878,5.5,141.53,455.17,2014,0.06,0.0,0.0,135500.0,1890902.0,57490.0,0,-0.1183105829488752,0
TX-600,dallas county,2.6165838086137967,4.3,154.81,497.88,2015,0.06,0.0,0.0,145800.0,1918341.0,57820.0,94,0.2028149218036066,1
TX-600,dallas county,2.5305415070150485,4.0,169.93,546.52,2016,0.06,0.0,0.0,154300.0,1939901.0,56469.0,152,-0.02190740370553912,0
TX-600,dallas county,2.426303980722765,4.0,186.01,598.24,2017,0.06,0.29,0.28,175000.0,1982027.0,55882.0,156,0.07953057780382178,1
TX-600,dallas county,2.2997334184532288,3.8,198.29,637.74,2018,0.06,0.29,0.29,196300.0,2005015.0,54659.0,65,0.10213164889097781,1
TX-601,tarrant county,2.631751953517868,5.2,120.59,352.01,2011,0.05,0.0,0.0,133700.0,1073690.0,31342.0,0,-0.03700164129619621,0
TX-601,tarrant county,2.522587831239339,6.5,121.44,354.49,2012,0.05,0.0,0.0,135000.0,1398762.0,30292.0,0,0.10728006541492752,1
TX-601,tarrant county,2.5045629689718107,6.1,125.86,367.37,2013,0.05,0.0,0.0,138800.0,1429990.0,31323.0,0,-0.0029946754108864937,0
TX-601,tarrant county,2.4764297201716645,5.1,135.8,396.41,2014,0.05,0.0,0.0,145200.0,1459359.0,31380.0,0,-0.22550714706458075,0
TX-601,tarrant county,2.404828139502801,4.2,146.57,427.82,2015,0.05,0.0,0.0,153200.0,1493246.0,31755.0,80,-0.004717746544694368,0
TX-601,tarrant county,2.3541790698941423,4.0,160.34,468.02,2016,0.05,0.0,0.0,168500.0,1523461.0,31712.0,63,-0.016783317938034115,0
TX-601,tarrant county,2.286206777054891,3.8,177.3,517.54,2017,0.05,0.24,0.25,186200.0,1558258.0,31911.0,25,0.022960087329588763,1
TX-601,tarrant county,2.1994269116675054,3.5,191.33,558.48,2018,0.06,0.25,0.25,210000.0,1584049.0,31496.0,17,-0.001965661247632089,0
VA-600,arlington county,2.631751953517868,5.2,213.08,1084.14,2011,0.1,0.0,0.0,578100.0,1073690.0,31342.0,0,-0.04400259288984676,0
VA-600,arlington county,2.631751953517868,3.4,217.32,1105.72,2012,0.1,0.0,0.0,580400.0,1073690.0,31342.0,0,0.043851274017350894,1
VA-600,arlington county,2.631751953517868,3.4,227.29,1156.42,2013,0.09,0.0,0.0,598200.0,1073690.0,31342.0,0,-0.39784442817047827,0
VA-600,arlington county,2.631751953517868,3.2,239.7,1219.54,2014,0.1,0.0,0.0,604600.0,1073690.0,31342.0,0,-0.18677948552398527,0
VA-600,arlington county,2.631751953517868,2.8,245.57,1249.43,2015,0.11,0.0,0.0,655000.0,1073690.0,31342.0,8,-0.27477042920449346,0
VA-600,arlington county,2.631751953517868,2.6,252.16,1282.98,2016,0.1,0.0,0.0,678100.0,1073690.0,31342.0,7,0.30544265457976016,1
VA-600,arlington county,2.631751953517868,2.5,255.78,1301.36,2017,0.11,0.4,0.39,735100.0,1073690.0,31342.0,25,-0.05766471973657761,0
VA-600,arlington county,2.631751953517868,2.0,266.3,1354.89,2018,0.1,0.38,0.39,707000.0,1073690.0,31342.0,12,-0.024360265225980338,0
WA-500,king county,2.631751953517868,5.2,134.25,958.93,2011,0.15,0.0,0.0,364300.0,1073690.0,31342.0,0,-0.02677265291539188,0
WA-500,king county,2.106909661725495,6.3,133.14,950.99,2012,0.15,0.0,0.0,353800.0,1616823.0,29449.0,0,0.00473777691423205,1
WA-500,king county,2.088778244112808,4.4,142.86,1020.39,2013,0.15,0.0,0.0,376200.0,1644502.0,29979.0,0,-0.034023193968776955,0
WA-500,king county,2.049168108706982,4.5,158.03,1128.77,2014,0.16,0.0,0.0,402700.0,1677022.0,30267.0,0,0.11122440011613732,1
WA-500,king county,1.973238625657528,4.1,170.85,1220.35,2015,0.16,0.0,0.0,438100.0,1714187.0,29999.0,1105,0.04387257929297106,1
WA-500,king county,1.8850733878273689,3.8,193.63,1383.06,2016,0.17,0.0,0.0,491300.0,1741842.0,29341.0,1154,0.06591225979640702,1
WA-500,king county,1.7879721104485655,3.6,218.23,1558.77,2017,0.17,0.29,0.3,563600.0,1777153.0,28950.0,1794,0.019545610328100427,1
WA-500,king county,1.6758516315630398,3.3,238.22,1701.55,2018,0.18,0.29,0.29,635200.0,1813108.0,28416.0,1953,-0.08343210969248349,0
WA-502,spokane county,2.631751953517868,5.2,143.24,502.25,2011,0.02,0.0,0.0,185600.0,1073690.0,31342.0,0,-0.07226179411361688,0
WA-502,spokane county,2.631751953517868,8.3,139.5,489.11,2012,0.02,0.0,0.0,174900.0,1073690.0,31342.0,0,-0.1374430868052643,0
WA-502,spokane county,2.631751953517868,8.0,140.78,493.61,2013,0.02,0.0,0.0,179300.0,1073690.0,31342.0,0,0.10420170058370926,1
WA-502,spokane county,2.631751953517868,6.8,146.38,513.24,2014,0.02,0.0,0.0,182700.0,1073690.0,31342.0,0,-0.11223446875305143,0
WA-502,spokane county,2.631751953517868,6.3,153.89,539.57,2015,0.02,0.0,0.0,194400.0,1073690.0,31342.0,56,-0.06670679233268173,0
WA-502,spokane county,2.631751953517868,6.0,165.41,579.96,2016,0.02,0.0,0.0,201300.0,1073690.0,31342.0,77,0.09556900781671196,1
WA-502,spokane county,2.631751953517868,5.3,180.66,633.43,2017,0.02,0.29,0.29,222200.0,1073690.0,31342.0,63,0.12338305138879346,1
WA-502,spokane county,4.14008248,5.2,201.38,706.11,2018,0.02,0.29,0.29,243400.0,404219.0,13809.0,63,0.034980866238261354,1
WI-501,milwaukee county,2.631751953517868,5.2,122.69,414.45,2011,0.03,0.0,0.0,159800.0,1073690.0,31342.0,0,-0.025925811958123823,0
WI-501,milwaukee county,4.252409517,8.5,117.8,397.92,2012,0.03,0.0,0.0,153200.0,734172.0,39207.0,0,0.006121637217570752,1
WI-501,milwaukee county,4.270531768490581,8.3,117.38,396.52,2013,0.04,0.0,0.0,146700.0,736091.0,40278.0,0,0.039112145726863945,1
WI-501,milwaukee county,4.263660535026317,6.8,120.17,405.93,2014,0.04,0.0,0.0,147200.0,737160.0,40606.0,0,0.013268436220710944,1
WI-501,milwaukee county,4.220311637123583,5.6,123.24,416.28,2015,0.04,0.0,0.0,150400.0,738808.0,41055.0,26,-0.0635436754910198,0
WI-501,milwaukee county,4.154336907832225,4.9,127.9,432.03,2016,0.04,0.0,0.0,151700.0,736700.0,40609.0,95,-0.3643831463736896,0
WI-501,milwaukee county,4.123166917171061,4.0,133.95,452.48,2017,0.04,0.36,0.35,157000.0,738510.0,40645.0,36,-0.028258032206280093,0
WI-501,milwaukee county,4.023021340036782,3.6,141.62,478.38,2018,0.04,0.35,0.36,162600.0,735144.0,40114.0,37,0.0187325806821661,1
WI-503,dane county,2.631751953517868,5.2,133.12,531.2,2011,0.05,0.0,0.0,226900.0,1073690.0,31342.0,0,0.07240191527655915,1
WI-503,dane county,2.631751953517868,4.8,132.05,526.94,2012,0.05,0.0,0.0,224900.0,1073690.0,31342.0,0,0.1148701678683306,1
WI-503,dane county,2.631751953517868,4.7,133.0,530.73,2013,0.05,0.0,0.0,228400.0,1073690.0,31342.0,0,-0.0764730852106782,0
WI-503,dane county,2.631751953517868,3.6,137.25,547.67,2014,0.06,0.0,0.0,233000.0,1073690.0,31342.0,0,-0.02166695446086153,0
WI-503,dane county,2.631751953517868,3.1,141.44,564.38,2015,0.06,0.0,0.0,240800.0,1073690.0,31342.0,23,-0.19589303359447086,0
WI-503,dane county,2.631751953517868,2.8,148.94,594.33,2016,0.06,0.0,0.0,255900.0,1073690.0,31342.0,34,-0.0788693310139571,0
WI-503,dane county,2.631751953517868,2.4,157.91,630.1,2017,0.06,0.3,0.3,263300.0,1073690.0,31342.0,36,0.038062191430777714,1
WI-503,dane county,2.631751953517868,2.2,166.73,665.33,2018,0.06,0.3,0.3,275200.0,1073690.0,31342.0,34,-0.06608958129891152,0
