CoC Number,County,SSDI Participation Rate (Percent),Unemployment Rate,HPI with 2000 base,HPI,Year,Estimate Total Asian alone,Share_of_Single_Person_Households_1_year,Share_of_Single_Person_Households_5_year,Median_House_Values_1_year,Total Civilian Noninstitutionalized Population Estimate Population Age 16 and Over,Blind and disabled,Overall Homeless - Multiple Races,pct_change_total_homeless_per_10k,target_class
CA-502,alameda county,1.7107409538148006,3.1,245.16,2000.68,2018,0.31,0.24,0.24,842000.0,1352338.0,32839.0,805,0.4556106692553099,1
CA-503,sacramento county,2.631751953517868,5.2,116.11,552.02,2011,0.14,0.0,0.0,217000.0,1073690.0,31342.0,0,0.1720626659328326,1
CA-503,sacramento county,3.5870538134230268,10.7,116.76,555.15,2012,0.15,0.0,0.0,213500.0,1116097.0,55674.0,0,-0.10485321093422706,0
CA-503,sacramento county,3.638699957905931,9.0,137.0,651.35,2013,0.15,0.0,0.0,238000.0,1128425.0,56492.0,0,-0.048020426953775064,0
CA-503,sacramento county,3.613836054389042,7.4,157.93,750.89,2014,0.15,0.0,0.0,273800.0,1143245.0,56979.0,0,0.07178522480175697,1
CA-503,sacramento county,3.516939525,6.0,167.74,797.52,2015,0.16,0.0,0.0,301200.0,1166355.0,56806.0,141,-0.06794514419916409,0
CA-503,sacramento county,3.415153391404653,5.4,183.56,872.75,2016,0.15,0.0,0.0,326800.0,1179010.0,56196.0,149,0.45052698425142834,1
CA-503,sacramento county,3.275450683730936,4.7,201.34,957.28,2017,0.15,0.26,0.26,353400.0,1192355.0,55219.0,490,-0.018647760415146042,0
CA-503,sacramento county,3.118961405,3.9,215.07,1022.54,2018,0.16,0.26,0.26,376800.0,1202163.0,53731.0,479,0.5247969569323379,1
CA-504,sonoma county,2.631751953517868,5.2,113.72,861.86,2011,0.04,0.0,0.0,398900.0,1073690.0,31342.0,0,-0.020225464431614992,0
CA-504,sonoma county,2.631751953517868,9.0,113.28,858.54,2012,0.04,0.0,0.0,380100.0,1073690.0,31342.0,0,-0.051446064102456,0
CA-504,sonoma county,2.631751953517868,7.2,129.05,978.04,2013,0.04,0.0,0.0,406900.0,1073690.0,31342.0,0,-0.013764442873772764,0
CA-504,sonoma county,2.631751953517868,5.7,150.7,1142.08,2014,0.04,0.0,0.0,469400.0,1073690.0,31342.0,0,-0.27670759463252925,0
CA-504,sonoma county,2.631751953517868,4.5,161.74,1225.75,2015,0.04,0.0,0.0,512100.0,1073690.0,31342.0,513,-0.06339603346912637,0
CA-504,sonoma county,2.631751953517868,4.0,176.27,1335.9,2016,0.04,0.0,0.0,565200.0,1073690.0,31342.0,582,-0.026651444702304516,0
CA-504,sonoma county,2.631751953517868,3.4,189.8,1438.44,2017,0.04,0.29,0.28,628400.0,1073690.0,31342.0,396,0.06582672725838656,1
CA-504,sonoma county,2.631751953517868,2.8,206.12,1562.11,2018,0.04,0.26,0.28,655200.0,1073690.0,31342.0,627,-0.0038498959232976526,0
CA-514,fresno county,2.631751953517868,5.2,132.33,452.6,2011,0.1,0.0,0.0,184300.0,1073690.0,31342.0,0,-0.1298251133849173,0
CA-514,fresno county,2.6612841203759463,15.4,131.72,450.52,2012,0.1,0.0,0.0,174200.0,689141.0,34207.0,0,-0.3083657299656283,0
CA-514,fresno county,2.68790486,13.4,144.25,493.39,2013,0.1,0.0,0.0,185200.0,694221.0,34559.0,0,-0.18132120676430707,0
CA-514,fresno county,2.6528456508096965,11.7,162.61,556.17,2014,0.1,0.0,0.0,204700.0,704338.0,34607.0,0,-0.34170449352190646,0
CA-514,fresno county,2.5631406101702505,10.3,171.73,587.38,2015,0.1,0.0,0.0,220100.0,714358.0,34526.0,87,0.08785613104239309,1
CA-514,fresno county,2.5068079700212764,9.5,181.22,619.83,2016,0.1,0.0,0.0,238100.0,718643.0,34568.0,135,0.060523653797601495,1
CA-514,fresno county,2.4491803685275846,8.6,195.59,668.99,2017,0.1,0.21,0.21,248700.0,725753.0,34629.0,119,0.05798958293427359,1
CA-514,fresno county,2.3936909536831754,7.6,209.23,715.63,2018,0.1,0.24,0.22,274400.0,730253.0,34578.0,97,0.16427205371061393,1
CA-600,los angeles county,2.631751953517868,5.2,166.07,982.16,2011,0.14,0.0,0.0,410600.0,1073690.0,31342.0,0,-0.09538786555556733,0
CA-600,los angeles county,1.9525810869039872,11.0,165.26,977.35,2012,0.14,0.0,0.0,399500.0,7820930.0,280165.0,0,0.1197511433474634,1
CA-600,los angeles county,1.9507013985972408,9.8,180.41,1066.93,2013,0.14,0.0,0.0,420200.0,7904849.0,283100.0,0,-0.04137282975616796,0
CA-600,los angeles county,1.925105485232068,8.2,204.42,1208.96,2014,0.14,0.0,0.0,464400.0,8020080.0,283246.0,0,0.19085439715073726,1
CA-600,los angeles county,1.8841645399887537,6.7,215.92,1276.96,2015,0.14,0.0,0.0,497200.0,8091650.0,279382.0,2453,0.0684911481444237,1
CA-600,los angeles county,1.8406217189159089,5.3,232.25,1373.51,2016,0.15,0.0,0.0,537900.0,8088028.0,274143.0,1822,0.19282048503850158,1
CA-600,los angeles county,1.7729755122168371,4.8,248.16,1467.64,2017,0.15,0.26,0.26,588700.0,8131810.0,268218.0,1884,-0.04195760500878987,0
CA-600,los angeles county,1.7180194200575398,4.6,264.82,1566.16,2018,0.15,0.26,0.26,625200.0,8092458.0,261154.0,1532,0.13360330265289533,1
CA-601,san diego county,2.631751953517868,5.2,144.64,839.92,2011,0.11,0.0,0.0,396500.0,1073690.0,31342.0,0,0.04879268233272249,1
CA-601,san diego county,2.063186949808251,9.3,145.39,844.31,2012,0.11,0.0,0.0,386400.0,2433129.0,60200.0,0,-0.12269363776291942,0
CA-601,san diego county,2.0701001517573663,7.9,160.34,931.11,2013,0.11,0.0,0.0,411000.0,2467755.0,60960.0,0,-0.05732655012251897,0
CA-601,san diego county,2.042157915241421,6.5,179.59,1042.87,2014,0.12,0.0,0.0,457300.0,2520618.0,61292.0,0,0.016503695011216957,1
CA-601,san diego county,1.9942517134165605,5.2,187.38,1088.12,2015,0.12,0.0,0.0,485900.0,2561111.0,60764.0,465,-0.013798700056195656,0
CA-601,san diego county,1.9379814818559205,4.7,201.23,1168.56,2016,0.12,0.0,0.0,527600.0,2571748.0,59728.0,930,0.050327292586295425,1
CA-601,san diego county,1.8834835826260548,4.0,215.48,1251.32,2017,0.12,0.24,0.24,563800.0,2592802.0,59082.0,778,-0.06534575282696875,0
CA-601,san diego county,1.824771059798332,3.4,228.44,1326.55,2018,0.12,0.24,0.24,606200.0,2592380.0,58427.0,396,-0.05384592739885896,0
CA-604,kern county,2.631751953517868,5.2,125.99,377.66,2011,0.04,0.0,0.0,155900.0,1073690.0,31342.0,0,-0.06533985357839567,0
CA-604,kern county,3.379014925,13.4,130.01,389.71,2012,0.05,0.0,0.0,150200.0,599731.0,28534.0,0,-0.15578388253997855,0
CA-604,kern county,3.3228969267529043,11.9,147.55,442.29,2013,0.05,0.0,0.0,161000.0,606850.0,28771.0,0,-0.14919261758634317,0
CA-604,kern county,3.2442714022101296,10.5,167.74,502.79,2014,0.05,0.0,0.0,183100.0,616163.0,28698.0,0,-0.046577328344544866,0
CA-604,kern county,3.203786818293334,10.3,175.57,526.28,2015,0.05,0.0,0.0,197100.0,623637.0,28276.0,74,0.11514684316850499,1
CA-604,kern county,3.1631396709564226,10.4,180.85,542.09,2016,0.05,0.0,0.0,204200.0,622957.0,27965.0,126,-0.24794345573294552,0
CA-604,kern county,3.0727423102674174,9.3,187.97,563.46,2017,0.05,0.21,0.2,205700.0,634775.0,28021.0,102,0.08815162484879457,1
CA-604,kern county,3.015577477204744,8.1,197.55,592.16,2018,0.05,0.21,0.2,226400.0,637523.0,28072.0,28,0.4970853559799646,1
CA-611,ventura county,2.631751953517868,5.2,145.78,983.08,2011,0.07,0.0,0.0,433100.0,1073690.0,31342.0,0,0.05872964902100897,1
CA-611,ventura county,2.2670647297851456,9.2,144.16,972.18,2012,0.07,0.0,0.0,413100.0,643784.0,11877.0,0,-0.13460814605272053,0
CA-611,ventura county,2.255596294421476,8.0,157.91,1064.9,2013,0.07,0.0,0.0,443700.0,649939.0,12056.0,0,-0.15356463760715466,0
CA-611,ventura county,2.2224545961543125,6.7,178.76,1205.47,2014,0.07,0.0,0.0,483100.0,659856.0,11931.0,0,-0.012787439768743969,0
CA-611,ventura county,2.162435618564671,5.7,185.41,1250.33,2015,0.07,0.0,0.0,528700.0,666147.0,11828.0,244,-0.10219222821494778,0
CA-611,ventura county,2.1277966665517853,5.2,197.7,1333.19,2016,0.07,0.0,0.0,561400.0,667357.0,11728.0,183,-0.09838587256063691,0
CA-611,ventura county,2.0580328034798248,4.5,208.28,1404.54,2017,0.08,0.22,0.21,592500.0,671758.0,11740.0,123,0.13976103803085183,1
CA-611,ventura county,1.970705646480692,3.8,217.38,1465.93,2018,0.08,0.22,0.22,614400.0,672348.0,11480.0,76,0.28347634332246896,1
FL-502,pinellas county,2.631751953517868,5.2,126.91,398.43,2011,0.03,0.0,0.0,143600.0,1073690.0,31342.0,0,0.01647814912815959,1
FL-502,pinellas county,4.272722436528728,8.2,127.8,401.22,2012,0.03,0.0,0.0,142200.0,770703.0,18133.0,0,-0.02280365113208116,0
FL-502,pinellas county,4.349995423093138,6.9,138.57,435.03,2013,0.03,0.0,0.0,138000.0,775633.0,18842.0,0,-0.14176171388372194,0
FL-502,pinellas county,4.338108883,5.9,154.87,486.2,2014,0.03,0.0,0.0,150900.0,785250.0,19026.0,0,-0.013513591287691917,0
FL-502,pinellas county,4.235792004206994,5.0,168.53,529.07,2015,0.03,0.0,0.0,170500.0,798670.0,19278.0,99,-0.18940514740152237,0
FL-502,pinellas county,4.112305939764345,4.4,186.99,587.04,2016,0.03,0.0,0.0,186500.0,810251.0,19064.0,93,0.009040271605338601,1
FL-502,pinellas county,3.970737048968757,3.9,205.5,645.15,2017,0.03,0.36,0.37,197300.0,818236.0,18978.0,106,-0.08175023203763043,0
FL-502,pinellas county,3.8526603001364257,3.4,224.37,704.37,2018,0.03,0.37,0.36,215800.0,824625.0,18801.0,92,-0.0751518188974768,0
FL-600,miami-dade county,2.631751953517868,5.2,141.88,486.97,2011,0.02,0.0,0.0,174700.0,1073690.0,31342.0,0,0.02707477718766982,1
FL-600,miami-dade county,2.235905701499505,7.9,142.86,490.32,2012,0.02,0.0,0.0,181500.0,2082154.0,83104.0,0,-0.05331371091899373,0
FL-600,miami-dade county,2.256755781170445,7.6,158.62,544.41,2013,0.02,0.0,0.0,192500.0,2105456.0,84905.0,0,0.07434987627881773,1
FL-600,miami-dade county,2.211742095,6.8,179.2,615.04,2014,0.02,0.0,0.0,216000.0,2149889.0,85185.0,0,-0.012181394315767036,0
FL-600,miami-dade county,2.1677573506472534,6.1,196.71,675.12,2015,0.02,0.0,0.0,251900.0,2179672.0,84716.0,189,0.012535600518815748,1
FL-600,miami-dade county,2.1101263298417257,5.5,214.29,735.48,2016,0.02,0.0,0.0,265200.0,2196314.0,83317.0,68,-0.13377440968667675,0
FL-600,miami-dade county,2.014166956386339,4.8,231.1,793.17,2017,0.02,0.26,0.26,288100.0,2234919.0,81802.0,33,-0.05844076936419107,0
FL-600,miami-dade county,1.945411638,3.7,248.06,851.37,2018,0.02,0.24,0.26,317100.0,2242456.0,79873.0,27,0.0037107797265700793,1
GA-503,clarke county,2.631751953517868,5.2,114.84,482.71,2011,0.04,0.01,0.01,157100.0,1073690.0,31342.0,0,-0.13457225508844417,0
GA-503,clarke county,2.631751953517868,8.6,109.01,458.2,2012,0.04,0.01,0.01,153300.0,1073690.0,31342.0,0,-0.414833039474341,0
GA-503,clarke county,2.631751953517868,7.8,111.73,469.62,2013,0.04,0.01,0.01,141800.0,1073690.0,31342.0,0,0.16275988076612746,1
GA-503,clarke county,2.631751953517868,7.0,116.69,490.48,2014,0.05,0.01,0.01,150000.0,1073690.0,31342.0,0,-0.10698058410526678,0
GA-503,clarke county,2.631751953517868,6.2,120.95,508.39,2015,0.04,0.01,0.01,153300.0,1073690.0,31342.0,4,-0.01516808496460853,0
GA-503,clarke county,2.631751953517868,5.6,129.93,546.15,2016,0.04,0.01,0.01,170400.0,1073690.0,31342.0,5,0.047172410584992,1
GA-503,clarke county,2.631751953517868,4.8,139.72,587.31,2017,0.04,0.29,0.35,167300.0,1073690.0,31342.0,0,-0.11482376863465804,0
GA-503,clarke county,2.631751953517868,4.0,151.19,635.51,2018,0.04,0.29,0.33,191800.0,1073690.0,31342.0,11,0.10920455843622534,1
GA-504,richmond county,2.631751953517868,5.2,119.05,330.07,2011,0.02,0.0,0.0,106100.0,1073690.0,31342.0,0,-0.2086075665591528,0
GA-504,richmond county,2.631751953517868,10.5,113.91,315.81,2012,0.02,0.0,0.0,105900.0,1073690.0,31342.0,0,0.2054952979246183,1
GA-504,richmond county,2.631751953517868,9.8,114.56,317.62,2013,0.02,0.01,0.0,94800.0,1073690.0,31342.0,0,-0.005276430225659934,0
GA-504,richmond county,2.631751953517868,8.7,115.17,319.32,2014,0.02,0.01,0.0,102400.0,1073690.0,31342.0,0,-0.13952794552766645,0
GA-504,richmond county,2.631751953517868,7.5,119.05,330.07,2015,0.02,0.0,0.0,102200.0,1073690.0,31342.0,16,-0.2943297327344697,0
GA-504,richmond county,2.631751953517868,6.8,119.75,332.0,2016,0.02,0.0,0.0,101600.0,1073690.0,31342.0,9,-0.1435070083533908,0
GA-504,richmond county,2.631751953517868,6.0,128.12,355.21,2017,0.02,0.34,0.34,101800.0,1073690.0,31342.0,9,0.09483056488482866,1
GA-504,richmond county,2.631751953517868,5.2,134.07,371.72,2018,0.02,0.39,0.34,108500.0,1073690.0,31342.0,10,0.4207142485035338,1
IL-503,champaign county,2.631751953517868,5.2,127.64,233.62,2011,0.1,0.0,0.0,149600.0,1073690.0,31342.0,0,-0.10231948305798622,0
IL-503,champaign county,2.631751953517868,7.1,126.63,231.76,2012,0.1,0.0,0.0,145400.0,1073690.0,31342.0,0,0.01582288760185313,1
IL-503,champaign county,2.631751953517868,7.2,125.99,230.59,2013,0.09,0.0,0.0,147300.0,1073690.0,31342.0,0,-0.05239707604004107,0
IL-503,champaign county,2.631751953517868,5.8,127.56,233.48,2014,0.1,0.0,0.0,145500.0,1073690.0,31342.0,0,-0.211456446526871,0
IL-503,champaign county,2.631751953517868,5.1,130.48,238.82,2015,0.11,0.0,0.0,157800.0,1073690.0,31342.0,6,0.15582022610952673,1
IL-503,champaign county,2.631751953517868,5.0,132.62,242.74,2016,0.11,0.0,0.0,161500.0,1073690.0,31342.0,12,-0.1529192004717046,0
IL-503,champaign county,2.631751953517868,4.3,133.73,244.77,2017,0.1,0.36,0.35,169200.0,1073690.0,31342.0,8,0.17173211646092024,1
IL-503,champaign county,2.631751953517868,4.3,136.84,250.45,2018,0.11,0.39,0.36,167400.0,1073690.0,31342.0,8,-0.19568237483498885,0
MN-500,hennepin county,2.631751953517868,5.2,120.66,528.85,2011,0.06,0.0,0.0,225200.0,1073690.0,31342.0,0,0.04523470572947086,1
MN-500,hennepin county,2.585419770291701,5.3,119.86,525.34,2012,0.07,0.0,0.0,219200.0,936405.0,21913.0,0,0.08020005852078071,1
MN-500,hennepin county,2.569921161655004,4.7,125.91,551.88,2013,0.07,0.0,0.0,221100.0,947889.0,22592.0,0,0.02759753973837875,1
MN-500,hennepin county,2.518029758722617,3.9,134.19,588.16,2014,0.07,0.0,0.0,228000.0,961466.0,22979.0,0,-0.1461100228428478,0
MN-500,hennepin county,2.4589632195530826,3.4,138.66,607.74,2015,0.07,0.0,0.0,250100.0,971141.0,22971.0,188,-0.05665446198874324,0
MN-500,hennepin county,2.3807117945514618,3.3,145.53,637.88,2016,0.07,0.0,0.0,257700.0,979749.0,22703.0,56,-0.015285410334790028,0
MN-500,hennepin county,2.256226302355378,3.1,155.03,679.51,2017,0.07,0.33,0.33,274900.0,997462.0,22575.0,226,-0.020187439661703332,0
MN-500,hennepin county,2.170302446649639,2.6,164.7,721.9,2018,0.07,0.32,0.33,289900.0,1003086.0,22309.0,232,0.12272472126442913,1
MN-501,ramsey county,2.631751953517868,5.2,117.09,477.72,2011,0.12,0.0,0.0,192500.0,1073690.0,31342.0,0,-0.16245718978333368,0
MN-501,ramsey county,2.631751953517868,5.8,114.89,468.74,2012,0.13,0.0,0.0,184900.0,1073690.0,31342.0,0,0.1488887389574447,1
MN-501,ramsey county,2.631751953517868,5.0,119.92,489.26,2013,0.13,0.0,0.0,187000.0,1073690.0,31342.0,0,0.046767578402983956,1
MN-501,ramsey county,2.631751953517868,4.1,127.99,522.19,2014,0.14,0.0,0.0,197700.0,1073690.0,31342.0,0,-0.07748742411262655,0
MN-501,ramsey county,2.631751953517868,3.6,132.09,538.92,2015,0.14,0.0,0.0,207600.0,1073690.0,31342.0,233,-0.041676562776505666,0
MN-501,ramsey county,2.631751953517868,3.6,139.38,568.69,2016,0.14,0.0,0.0,220100.0,1073690.0,31342.0,135,0.05406957383705979,1
MN-501,ramsey county,2.631751953517868,3.3,148.35,605.26,2017,0.15,0.32,0.33,231100.0,1073690.0,31342.0,125,-0.013760081844082284,0
MN-501,ramsey county,2.631751953517868,2.8,158.63,647.2,2018,0.15,0.35,0.33,240900.0,1073690.0,31342.0,103,0.108624659389293,1
NC-500,forsyth county,2.631751953517868,5.2,114.25,339.37,2011,0.02,0.0,0.0,151800.0,1073690.0,31342.0,0,0.045645836643805504,1
NC-500,forsyth county,2.631751953517868,9.1,111.4,330.92,2012,0.02,0.0,0.0,153800.0,1073690.0,31342.0,0,-0.2974150650134896,0
NC-500,forsyth county,2.631751953517868,7.3,110.92,329.47,2013,0.02,0.0,0.0,149700.0,1073690.0,31342.0,0,0.2925147295777124,1
NC-500,forsyth county,2.631751953517868,5.8,110.79,329.09,2014,0.02,0.0,0.0,144900.0,1073690.0,31342.0,0,0.09755791509880152,1
NC-500,forsyth county,2.631751953517868,5.4,115.72,343.75,2015,0.02,0.0,0.0,151600.0,1073690.0,31342.0,6,-0.0536760275631325,0
NC-500,forsyth county,2.631751953517868,4.9,118.31,351.42,2016,0.02,0.0,0.0,153200.0,1073690.0,31342.0,18,-0.1779207630317753,0
NC-500,forsyth county,2.631751953517868,4.4,122.82,364.83,2017,0.03,0.34,0.32,156500.0,1073690.0,31342.0,17,-0.035817742063881663,0
NC-500,forsyth county,2.631751953517868,3.9,130.49,387.61,2018,0.03,0.33,0.32,163200.0,1073690.0,31342.0,13,0.023192144571838158,1
NC-502,durham county,2.631751953517868,5.2,120.29,416.33,2011,0.04,0.0,0.0,181100.0,1073690.0,31342.0,0,0.14305215582192043,1
NC-502,durham county,2.631751953517868,7.6,119.45,413.44,2012,0.05,0.0,0.0,176600.0,1073690.0,31342.0,0,0.047001729352998955,1
NC-502,durham county,2.631751953517868,6.1,121.04,418.91,2013,0.04,0.0,0.0,179000.0,1073690.0,31342.0,0,0.05388341808116759,1
NC-502,durham county,2.631751953517868,5.0,128.25,443.89,2014,0.04,0.0,0.0,181900.0,1073690.0,31342.0,0,-0.019158652449183244,0
NC-502,durham county,2.631751953517868,5.0,133.5,462.05,2015,0.05,0.0,0.0,195200.0,1073690.0,31342.0,30,-0.5720552092723258,0
NC-502,durham county,2.631751953517868,4.5,142.37,492.76,2016,0.05,0.0,0.0,194800.0,1073690.0,31342.0,18,-0.01741753305095628,0
NC-502,durham county,2.631751953517868,4.1,155.56,538.4,2017,0.05,0.33,0.33,227200.0,1073690.0,31342.0,12,-0.06056855558934493,0
NC-502,durham county,2.631751953517868,3.6,170.95,591.66,2018,0.05,0.33,0.33,233300.0,1073690.0,31342.0,8,0.052270210900967395,1
